mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
CAT-13f,-17.3288,0.0411,-9.0930,0.0000,True,8.235800191204588
CAT-4d,-14.1472,0.0413,-9.1130,0.0000,True,5.0341558317399615
CAT-4b,-14.4077,0.0415,-9.6330,0.0000,True,4.774695984703633
CAT-4n,-13.8108,0.0410,-9.0930,0.0000,True,4.717755258126194
CAT-13e,-14.5852,0.0400,-9.9630,0.0000,True,4.622181644359464
CAT-13g,-13.5123,0.0411,-9.0930,0.0000,True,4.4193326959847035
CAT-13i,-13.4943,0.0407,-9.2730,0.0000,True,4.221335564053537
CAT-4c,-11.7451,0.1202,-7.8530,0.0000,True,3.8920764818355633
CAT-13k,-13.5900,0.0408,-9.7030,0.0000,True,3.886985659655832
CAT-4o,-13.1837,0.0410,-9.3830,0.0000,True,3.8006759082217973
CAT-17a,-14.3690,0.0404,-10.7330,0.0000,True,3.636024856596556
CAT-17b,-13.5412,0.0408,-10.0230,0.0000,True,3.5182284894837483
CAT-4i,-11.5122,0.1178,-8.2630,0.0000,True,3.2492370936902484
CAT-13m,-11.8946,0.0409,-8.7630,0.0000,True,3.1315984703632895
CAT-17e,-13.0073,0.0412,-10.0230,0.0000,True,2.984313575525814
CAT-13c,-12.2540,0.0397,-9.3230,0.0000,True,2.9310391969407257
CAT-13h,-12.5634,0.0408,-9.6330,0.0000,True,2.9303843212237095
CAT-13d,-13.3030,0.0401,-10.4730,0.0000,True,2.830011472275332
CAT-17h,-13.0996,0.0395,-10.3330,0.0000,True,2.7666175908221793
CAT-4p,-12.7509,0.0408,-10.0830,0.0000,True,2.6679082217973233
CAT-4m,-11.6780,0.0406,-9.1530,0.0000,True,2.5250114722753323
CAT-17i,-11.9855,0.0398,-9.4730,0.0000,True,2.512516252390056
CAT-17c,-12.1897,0.0627,-9.8630,0.0000,True,2.326746653919693
CAT-24,-13.6668,0.0409,-11.3500,0.0000,True,2.3168499043977056
CAT-13j,-10.9852,0.0405,-8.7330,0.0000,True,2.252229445506692
CAT-4a,-9.8220,0.0401,-7.9330,0.0000,True,1.8890124282982785
CAT-4k,-9.6910,0.0407,-7.8530,0.0000,True,1.8379655831739954
CAT-4j,-10.7852,0.0401,-9.0230,0.0000,True,1.7622055449330791
CAT-17f,-11.1499,0.0399,-9.4230,0.0000,True,1.7268565965583182
CAT-13a,-10.2487,0.0389,-8.8430,0.0000,True,1.4057093690248559
CAT-13o,-9.9443,0.0404,-8.5430,0.0000,True,1.4012638623326954
CAT-17g,-11.0540,0.0405,-9.7430,0.0000,True,1.311015296367112
CAT-13n,-9.3832,0.0410,-8.5430,0.0000,True,0.8401500956022931
CAT-13b,-9.8412,0.0393,-9.1230,0.0000,True,0.7181806883365205
CAT-4l,-9.6482,0.0403,-9.3430,0.0000,True,0.3051835564053536
CAT-17d,-9.5402,0.0397,-9.4230,0.0000,True,0.11722466539196938
