mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
CAT-13f,-14.4538,0.0411,-9.0930,0.0000,True,5.360842415551305
CAT-17d,-6.6653,0.0397,-9.4230,0.0000,True,2.7577331102613116
CAT-4l,-6.7732,0.0403,-9.3430,0.0000,True,2.569774219247927
CAT-4d,-11.2722,0.0413,-9.1130,0.0000,True,2.1591980560866806
CAT-13b,-6.9662,0.0393,-9.1230,0.0000,True,2.1567770873167604
CAT-13n,-6.5082,0.0410,-8.5430,0.0000,True,2.0348076800509878
CAT-4b,-11.5327,0.0415,-9.6330,0.0000,True,1.8997382090503516
CAT-4n,-10.9358,0.0410,-9.0930,0.0000,True,1.8427974824729128
CAT-13e,-11.7102,0.0400,-9.9630,0.0000,True,1.7472238687061834
CAT-17g,-8.1791,0.0405,-9.7430,0.0000,True,1.563942479286169
CAT-13g,-10.6374,0.0411,-9.0930,0.0000,True,1.5443749203314223
CAT-13o,-7.0693,0.0404,-8.5430,0.0000,True,1.4736939133205855
CAT-13a,-7.3738,0.0389,-8.8430,0.0000,True,1.469248406628425
CAT-13i,-10.6194,0.0407,-9.2730,0.0000,True,1.3463777884002557
CAT-17f,-8.2749,0.0399,-9.4230,0.0000,True,1.148101179094963
CAT-4j,-7.9102,0.0401,-9.0230,0.0000,True,1.1127522307202018
CAT-4k,-6.8160,0.0407,-7.8530,0.0000,True,1.0369921924792855
CAT-4c,-8.8701,0.1202,-7.8530,0.0000,True,1.0171187061822824
CAT-13k,-10.7150,0.0408,-9.7030,0.0000,True,1.012027884002551
CAT-4a,-6.9471,0.0401,-7.9330,0.0000,True,0.9859453473550025
CAT-4o,-10.3087,0.0410,-9.3830,0.0000,True,0.9257181325685165
CAT-17a,-11.4941,0.0404,-10.7330,0.0000,True,0.7610670809432749
CAT-17b,-10.6663,0.0408,-10.0230,0.0000,True,0.6432707138304675
CAT-13j,-8.1103,0.0405,-8.7330,0.0000,True,0.6227283301465893
CAT-24,-10.7919,0.0409,-11.3500,0.0000,True,0.5581078712555756
CAT-17c,-9.3148,0.0627,-9.8630,0.0000,True,0.5482111217335878
CAT-4i,-8.6373,0.1178,-8.2630,0.0000,True,0.37427931803696757
CAT-17i,-9.1106,0.0398,-9.4730,0.0000,True,0.3624415232632249
CAT-4m,-8.8031,0.0406,-9.1530,0.0000,True,0.3499463033779486
CAT-13m,-9.0196,0.0409,-8.7630,0.0000,True,0.2566406947100085
CAT-4p,-9.8760,0.0408,-10.0830,0.0000,True,0.20704955385595752
CAT-17e,-10.1324,0.0412,-10.0230,0.0000,True,0.10935579987253294
CAT-17h,-10.2247,0.0395,-10.3330,0.0000,True,0.10834018483110172
CAT-13c,-9.3791,0.0397,-9.3230,0.0000,True,0.05608142128744453
CAT-13h,-9.6884,0.0408,-9.6330,0.0000,True,0.055426545570428344
CAT-13d,-10.4281,0.0401,-10.4730,0.0000,True,0.04494630337794888
