mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
1h1s,-8.3016,0.0431,-11.2500,0.0000,True,2.9483535492351822
17,-8.6614,0.0361,-7.0400,0.0000,True,1.6213500836520087
28,-9.6984,0.0401,-11.1100,0.0000,True,1.4115801266730394
1h1r,-9.0179,0.0363,-7.6700,0.0000,True,1.3478988408221815
1oiu,-10.2553,0.0414,-9.0800,0.0000,True,1.175279337954111
21,-8.7736,0.0371,-7.8300,0.0000,True,0.9435871773422582
1oiy,-8.8953,0.0384,-9.7900,0.0000,True,0.8946872012428287
20,-9.5807,0.0378,-8.7200,0.0000,True,0.8607095482791581
29,-9.1381,0.0404,-9.8800,0.0000,True,0.7419290750478024
32,-9.0152,0.0432,-9.7500,0.0000,True,0.7347780234225624
31,-8.8342,0.0384,-9.5400,0.0000,True,0.705777067399617
22,-8.4932,0.0370,-7.8600,0.0000,True,0.6331856477055444
1oi9,-10.3232,0.0371,-9.7400,0.0000,True,0.5832286687380503
1h1q,-8.5853,0.0362,-8.1800,0.0000,True,0.4052745578393888
26,-8.3564,0.0371,-8.4300,0.0000,True,0.07362123565965562
30,-9.7502,0.0392,-9.8100,0.0000,True,0.059787583652008085
