mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
18658-1 flip,-6.2628,0.0395,-9.7000,0.0000,True,3.437165391969407
18634-1 flip,-6.7784,0.0383,-9.9900,0.0000,True,3.211582217973232
18630-1,-6.1315,0.0363,-9.1400,0.0000,True,3.0085229445506707
18658-1,-6.7761,0.0399,-9.7000,0.0000,True,2.923948374760995
18625-1,-5.3718,0.0364,-8.1100,0.0000,True,2.738178776290631
18629-1 flip,-5.9667,0.0360,-8.6700,0.0000,True,2.703317399617591
18628-1,-6.1621,0.0363,-8.7000,0.0000,True,2.5379063097514334
18629-1,-6.2713,0.0366,-8.6700,0.0000,True,2.398656787762907
18631-1 flip,-7.0377,0.0370,-9.4100,0.0000,True,2.372284894837476
18652-1 flip,-8.3246,0.0419,-10.6800,0.0000,True,2.3554302103250477
18628-1_flip,-6.4082,0.0364,-8.7000,0.0000,True,2.2917543021032496
18634-1,-7.7483,0.0380,-9.9900,0.0000,True,2.2417447418738052
18659-1 flip,-7.2564,0.0397,-9.4700,0.0000,True,2.213642447418738
18638-1 flip,-7.9131,0.0408,-10.0900,0.0000,True,2.1768546845124277
18637-1 flip,-8.0451,0.0410,-10.1400,0.0000,True,2.094899617590823
18660-1 flip,-6.6164,0.0425,-8.7000,0.0000,True,2.0836042065009552
18627-1,-6.4665,0.0359,-8.4800,0.0000,True,2.0134608030592744
18633-1,-7.1979,0.0369,-9.1700,0.0000,True,1.972079349904398
18632-1 flip,-7.1590,0.0368,-9.0800,0.0000,True,1.9209655831739971
18625-1 flip,-6.2120,0.0361,-8.1100,0.0000,True,1.8979780114722755
18626-1,-7.0311,0.0364,-8.8700,0.0000,True,1.8389053537284894
18652-1,-9.0025,0.0415,-10.6800,0.0000,True,1.6775382409177815
18626-1 flip,-7.2158,0.0357,-8.8700,0.0000,True,1.6542495219885274
18635-1 flip,-5.6642,0.0373,-7.2900,0.0000,True,1.6257552581261951
18637-1,-8.5227,0.0413,-10.1400,0.0000,True,1.6172705544933081
18639-1 flip,-8.1810,0.0391,-9.7400,0.0000,True,1.5590009560229448
17124-1,-8.2259,0.0386,-9.6800,0.0000,True,1.4540678776290636
18638-1,-8.6413,0.0414,-10.0900,0.0000,True,1.4487476099426386
18659-1,-8.0329,0.0401,-9.4700,0.0000,True,1.4370889101338447
18632-1,-7.6493,0.0371,-9.0800,0.0000,True,1.430717017208413
18631-1,-8.1980,0.0372,-9.4100,0.0000,True,1.2120076481835556
18624-1,-7.3093,0.0355,-8.4900,0.0000,True,1.180654875717017
17124-1 flip,-8.6350,0.0386,-9.6800,0.0000,True,1.0450334608030587
18635-1,-6.3780,0.0369,-7.2900,0.0000,True,0.9119885277246655
18636-1 flip,-6.6408,0.0363,-7.5100,0.0000,True,0.8691539196940726
18639-1,-8.8894,0.0396,-9.7400,0.0000,True,0.8505640535372865
18660-1,-7.9707,0.0420,-8.7000,0.0000,True,0.7292782026768636
18636-1,-7.3179,0.0365,-7.5100,0.0000,True,0.192098470363289
