mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
18636-1,-9.1950,0.0365,-7.5100,0.0000,True,1.6849567273825088
18658-1 flip,-8.1399,0.0395,-9.7000,0.0000,True,1.5601101942236084
18634-1 flip,-8.6555,0.0383,-9.9900,0.0000,True,1.334527020227434
18660-1,-9.8478,0.0420,-8.7000,0.0000,True,1.147776995068934
18630-1,-8.0085,0.0363,-9.1400,0.0000,True,1.1314677468048728
18658-1,-8.6531,0.0399,-9.7000,0.0000,True,1.0468931770151968
18639-1,-10.7665,0.0396,-9.7400,0.0000,True,1.0264911442085114
18636-1 flip,-8.5179,0.0363,-7.5100,0.0000,True,1.0079012780517251
18635-1,-8.2551,0.0369,-7.2900,0.0000,True,0.9650666700211322
18625-1,-7.2489,0.0364,-8.1100,0.0000,True,0.8611235785448331
17124-1 flip,-10.5120,0.0386,-9.6800,0.0000,True,0.832021736942739
18629-1 flip,-7.8437,0.0360,-8.6700,0.0000,True,0.8262622018717941
18624-1,-9.1864,0.0355,-8.4900,0.0000,True,0.6964003220287799
18631-1,-10.0750,0.0372,-9.4100,0.0000,True,0.6650475495622423
18628-1,-8.0391,0.0363,-8.7000,0.0000,True,0.6608511120056363
18629-1,-8.1484,0.0366,-8.6700,0.0000,True,0.5216015900171089
18631-1 flip,-8.9148,0.0370,-9.4100,0.0000,True,0.4952296970916785
18652-1 flip,-10.2016,0.0419,-10.6800,0.0000,True,0.4783750125792498
18632-1,-9.5263,0.0371,-9.0800,0.0000,True,0.44633818053738494
18659-1,-9.9100,0.0401,-9.4700,0.0000,True,0.4399662876119531
18638-1,-10.5183,0.0414,-10.0900,0.0000,True,0.4283075878031592
17124-1,-10.1030,0.0386,-9.6800,0.0000,True,0.42298732011673407
18628-1_flip,-8.2853,0.0364,-8.7000,0.0000,True,0.4146991043574516
18634-1,-9.6253,0.0380,-9.9900,0.0000,True,0.3646895441280075
18659-1 flip,-9.1334,0.0397,-9.4700,0.0000,True,0.33658724967294135
18639-1 flip,-10.0581,0.0391,-9.7400,0.0000,True,0.31805424172285296
18638-1 flip,-9.7902,0.0408,-10.0900,0.0000,True,0.2997994867666301
18637-1,-10.3998,0.0413,-10.1400,0.0000,True,0.2597846432524896
18635-1 flip,-7.5413,0.0373,-7.2900,0.0000,True,0.2512999396196027
18626-1 flip,-9.0928,0.0357,-8.8700,0.0000,True,0.2228056757572703
18637-1 flip,-9.9222,0.0410,-10.1400,0.0000,True,0.21784441984502562
18660-1 flip,-8.4935,0.0425,-8.7000,0.0000,True,0.20654900875515741
18652-1,-10.8795,0.0415,-10.6800,0.0000,True,0.1995169568280163
18627-1,-8.3436,0.0359,-8.4800,0.0000,True,0.13640560531347592
18633-1,-9.0750,0.0369,-9.1700,0.0000,True,0.09502415215860105
18632-1 flip,-9.0361,0.0368,-9.0800,0.0000,True,0.043910385428200284
18626-1,-8.9081,0.0364,-8.8700,0.0000,True,0.03814984401730927
18625-1 flip,-8.0891,0.0361,-8.1100,0.0000,True,0.020922813726478504
