mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
45 flip,-3.0365,0.0404,-8.9500,0.0000,True,5.913456022944549
26 flip,-3.1832,0.0399,-8.2400,0.0000,True,5.056802103250478
57 flip,-4.7398,0.0402,-9.0400,0.0000,True,4.300181644359465
48,-3.0388,0.0399,-6.6600,0.0000,True,3.6211854684512437
58,-13.0048,0.0402,-9.4100,0.0000,True,3.594780114722753
42 flip,-5.3339,0.0399,-8.9000,0.0000,True,3.566061185468451
23 flip,-5.2656,0.0399,-8.8300,0.0000,True,3.5644168260038254
48 flip,-3.3108,0.0396,-6.6600,0.0000,True,3.3492447418738056
65,-11.7381,0.0399,-8.4100,0.0000,True,3.3281453154875713
29 flip,-3.6721,0.0398,-6.9400,0.0000,True,3.26791586998088
51 flip,-5.2482,0.0398,-8.4500,0.0000,True,3.201840344168259
28 flip,-3.4197,0.0394,-6.6200,0.0000,True,3.20032982791587
63,-12.1127,0.0403,-9.0600,0.0000,True,3.0527151051625236
64 flip,-6.5259,0.0398,-9.5000,0.0000,True,2.9741156787762915
53,-12.5120,0.0398,-9.9600,0.0000,True,2.551998087954109
42,-6.4323,0.0402,-8.9000,0.0000,True,2.467710325047801
30,-5.4156,0.0395,-7.8500,0.0000,True,2.4343929254302106
68 flip,-5.3659,0.0399,-7.6900,0.0000,True,2.3240822179732326
67,-9.8991,0.0397,-7.5800,0.0000,True,2.3190917782026768
29,-4.6474,0.0395,-6.9400,0.0000,True,2.292605162523901
54 flip,-7.6926,0.0397,-9.7800,0.0000,True,2.087433078393882
62 flip,-5.8810,0.0405,-7.9600,0.0000,True,2.079048757170172
44 flip,-6.6192,0.0400,-8.6700,0.0000,True,2.050760038240918
28,-4.5719,0.0395,-6.6200,0.0000,True,2.048083173996176
46 flip,-5.6292,0.0399,-7.6000,0.0000,True,1.970769598470363
43,-5.3493,0.0403,-7.0300,0.0000,True,1.6807170172084136
49 flip,-6.8344,0.0841,-8.3600,0.0000,True,1.5256070745697898
43 flip,-5.6263,0.0400,-7.0300,0.0000,True,1.4037332695984712
38 flip,-8.3435,0.0411,-7.0200,0.0000,True,1.3234512428298282
47,-4.4887,0.0403,-5.7800,0.0000,True,1.2912810707456983
66 flip,-7.2511,0.0399,-8.4300,0.0000,True,1.1788766730401539
51,-7.3091,0.0400,-8.4500,0.0000,True,1.1409177820267682
27,-5.0227,0.0390,-6.1200,0.0000,True,1.097294455066922
32,-5.5322,0.0395,-6.5800,0.0000,True,1.0477581261950295
31 flip,-6.8897,0.0397,-7.9200,0.0000,True,1.0303011472275345
35 flip,-7.8039,0.0397,-8.8100,0.0000,True,1.0060803059273424
38,-6.0893,0.0403,-7.0200,0.0000,True,0.9306596558317398
47 flip,-4.8913,0.0404,-5.7800,0.0000,True,0.888747609942639
36 flip,-9.0592,0.0397,-8.1800,0.0000,True,0.8791539196940736
44,-7.7931,0.0401,-8.6700,0.0000,True,0.8768833652007652
41 flip,-6.2591,0.0413,-7.1300,0.0000,True,0.8708699808795415
40 flip,-6.3839,0.0403,-7.2500,0.0000,True,0.8661328871892923
35,-8.0188,0.0395,-8.8100,0.0000,True,0.7912380497131939
40,-7.9734,0.0413,-7.2500,0.0000,True,0.7233747609942635
39,-6.3402,0.0412,-7.0300,0.0000,True,0.6897992351816448
23,-8.1455,0.0401,-8.8300,0.0000,True,0.6844933078393882
45,-8.2743,0.0401,-8.9500,0.0000,True,0.6756931166347979
36,-7.5716,0.0402,-8.1800,0.0000,True,0.608393881453154
41,-6.5608,0.0413,-7.1300,0.0000,True,0.5691730401529633
56,-9.7579,0.0402,-9.2600,0.0000,True,0.4978871892925429
26,-7.7576,0.0398,-8.2400,0.0000,True,0.48244741873804986
66,-8.8767,0.0400,-8.4300,0.0000,True,0.4467208413001904
61,-8.5191,0.0408,-8.0800,0.0000,True,0.4391204588910133
64,-9.0915,0.0400,-9.5000,0.0000,True,0.40853250478011616
46,-7.9909,0.0400,-7.6000,0.0000,True,0.39089388145315496
49,-7.9769,0.0398,-8.3600,0.0000,True,0.3830640535372842
60,-9.3020,0.0403,-8.9200,0.0000,True,0.38195984703632924
34,-7.1880,0.0396,-6.8700,0.0000,True,0.31800191204588907
54,-9.5048,0.0401,-9.7800,0.0000,True,0.2752198852772461
52 flip,-9.5041,0.0395,-9.2300,0.0000,True,0.27408699808795234
62,-7.6978,0.0402,-7.9600,0.0000,True,0.26222275334607936
33,-7.0895,0.0393,-6.8800,0.0000,True,0.20950764818355655
52,-9.0369,0.0397,-9.2300,0.0000,True,0.19314531548757227
31,-8.0930,0.0393,-7.9200,0.0000,True,0.17299713193116548
68,-7.8098,0.0395,-7.6900,0.0000,True,0.1197514340344159
57,-8.9581,0.0402,-9.0400,0.0000,True,0.08194550669216102
37,-9.0134,0.0399,-8.9500,0.0000,True,0.06340822179732396
50,-9.2696,0.0402,-9.3300,0.0000,True,0.060401529636712144
