mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
45 flip,-3.9731,0.0404,-8.9500,0.0000,True,4.97691162411427
58,-13.9413,0.0402,-9.4100,0.0000,True,4.531324513553032
65,-12.6747,0.0399,-8.4100,0.0000,True,4.26468971431785
26 flip,-4.1197,0.0399,-8.2400,0.0000,True,4.120257704420199
63,-13.0493,0.0403,-9.0600,0.0000,True,3.9892595039928023
53,-13.4485,0.0398,-9.9600,0.0000,True,3.4885424867843877
57 flip,-5.6764,0.0402,-9.0400,0.0000,True,3.363637245529186
67,-10.8356,0.0397,-7.5800,0.0000,True,3.255636177032956
48,-3.9754,0.0399,-6.6600,0.0000,True,2.684641069620965
42 flip,-6.2705,0.0399,-8.9000,0.0000,True,2.6295167866381726
23 flip,-6.2021,0.0399,-8.8300,0.0000,True,2.6278724271735463
48 flip,-4.2473,0.0396,-6.6600,0.0000,True,2.4127003430435265
29 flip,-4.6086,0.0398,-6.9400,0.0000,True,2.3313714711506015
51 flip,-6.1847,0.0398,-8.4500,0.0000,True,2.26529594533798
28 flip,-4.3562,0.0394,-6.6200,0.0000,True,2.263785429085591
38 flip,-9.2800,0.0411,-7.0200,0.0000,True,2.2599956416601072
64 flip,-7.4624,0.0398,-9.5000,0.0000,True,2.0375712799460124
36 flip,-9.9957,0.0397,-8.1800,0.0000,True,1.8156983185243525
40,-8.9099,0.0413,-7.2500,0.0000,True,1.6599191598245424
42,-7.3688,0.0402,-8.9000,0.0000,True,1.5311659262175221
30,-6.3522,0.0395,-7.8500,0.0000,True,1.4978485265999315
56,-10.6944,0.0402,-9.2600,0.0000,True,1.4344315881228218
68 flip,-6.3025,0.0399,-7.6900,0.0000,True,1.3875378191429537
66,-9.8133,0.0400,-8.4300,0.0000,True,1.3832652401304693
61,-9.4557,0.0408,-8.0800,0.0000,True,1.3756648577212922
29,-5.5839,0.0395,-6.9400,0.0000,True,1.3560607636936224
46,-8.9274,0.0400,-7.6000,0.0000,True,1.327438280283434
60,-10.2385,0.0403,-8.9200,0.0000,True,1.318504245866608
34,-8.1245,0.0396,-6.8700,0.0000,True,1.2545463108761672
52 flip,-10.4406,0.0395,-9.2300,0.0000,True,1.2106313969182312
54 flip,-8.6291,0.0397,-9.7800,0.0000,True,1.1508886795636029
33,-8.0261,0.0393,-6.8800,0.0000,True,1.1460520470138353
62 flip,-6.8175,0.0405,-7.9600,0.0000,True,1.1425043583398933
44 flip,-7.5558,0.0400,-8.6700,0.0000,True,1.1142156394106393
28,-5.5085,0.0395,-6.6200,0.0000,True,1.1115387751658967
31,-9.0295,0.0393,-7.9200,0.0000,True,1.1095415307614445
68,-8.7463,0.0395,-7.6900,0.0000,True,1.0562958328646948
46 flip,-6.5658,0.0399,-7.6000,0.0000,True,1.0342251996400842
37,-9.9500,0.0399,-8.9500,0.0000,True,0.9999526206276028
50,-10.2061,0.0402,-9.3300,0.0000,True,0.8761428691935668
57,-9.8946,0.0402,-9.0400,0.0000,True,0.8545988921381179
43,-6.2858,0.0403,-7.0300,0.0000,True,0.7441726183781346
52,-9.9734,0.0397,-9.2300,0.0000,True,0.7433990833427067
62,-8.6343,0.0402,-7.9600,0.0000,True,0.6743216454841996
54,-10.4413,0.0401,-9.7800,0.0000,True,0.6613245135530328
49 flip,-7.7709,0.0841,-8.3600,0.0000,True,0.5890626757395118
49,-8.9135,0.0398,-8.3600,0.0000,True,0.5534803452929947
64,-10.0280,0.0400,-9.5000,0.0000,True,0.5280118940501628
43 flip,-6.5628,0.0400,-7.0300,0.0000,True,0.4671888707681922
26,-8.6941,0.0398,-8.2400,0.0000,True,0.45409698009222904
41,-7.4974,0.0413,-7.1300,0.0000,True,0.3673713586773156
47,-5.4253,0.0403,-5.7800,0.0000,True,0.35473667191541947
36,-8.5082,0.0402,-8.1800,0.0000,True,0.328150517377125
45,-9.2109,0.0401,-8.9500,0.0000,True,0.26085128219548104
23,-9.0821,0.0401,-8.8300,0.0000,True,0.25205109099089074
39,-7.2767,0.0412,-7.0300,0.0000,True,0.24674516364863414
66 flip,-8.1877,0.0399,-8.4300,0.0000,True,0.24233227420987583
51,-8.2456,0.0400,-8.4500,0.0000,True,0.20437338319648843
27,-5.9592,0.0390,-6.1200,0.0000,True,0.16075005623664304
35,-8.9553,0.0395,-8.8100,0.0000,True,0.14530634911708507
32,-6.4688,0.0395,-6.5800,0.0000,True,0.1112137273647506
31 flip,-7.8262,0.0397,-7.9200,0.0000,True,0.0937567483972548
40 flip,-7.3204,0.0403,-7.2500,0.0000,True,0.07041151164098662
35 flip,-8.7405,0.0397,-8.8100,0.0000,True,0.06953590709706349
41 flip,-7.1957,0.0413,-7.1300,0.0000,True,0.06567441795073738
44,-8.7297,0.0401,-8.6700,0.0000,True,0.05966103362951376
47 flip,-5.8278,0.0404,-5.7800,0.0000,True,0.04779678888763993
38,-7.0259,0.0403,-7.0200,0.0000,True,0.005884742998539132
