mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
2f,-13.7140,0.0373,-8.4800,0.0000,True,5.234005736137665
2m,-15.8850,0.0379,-10.9600,0.0000,True,4.925038240917779
2r,-15.3622,0.0400,-10.7900,0.0000,True,4.572237093690249
2bb,-13.4135,0.0405,-9.0600,0.0000,True,4.353527724665391
3flq,-14.2683,0.0406,-9.9300,0.0000,True,4.338260038240918
3flw,-14.8764,0.0401,-10.6800,0.0000,True,4.196362332695985
2c,-14.5564,0.0367,-10.4600,0.0000,True,4.096405353728488
2o,-14.5829,0.0408,-10.4900,0.0000,True,4.092887189292543
2y,-13.5471,0.0391,-9.7800,0.0000,True,3.76708413001912
2t,-15.5655,0.0376,-11.8500,0.0000,True,3.7154875717017224
2u,-15.8809,0.0430,-12.2600,0.0000,True,3.6209034416826014
2s,-14.6310,0.0404,-11.1100,0.0000,True,3.5210468451242822
3fmk,-15.2966,0.0389,-11.8300,0.0000,True,3.4666300191204567
2aa,-12.6045,0.0400,-9.2700,0.0000,True,3.334541108986616
2g,-13.9216,0.0375,-10.6600,0.0000,True,3.2616061185468435
2p,-14.3453,0.0407,-11.2000,0.0000,True,3.1453154875717027
3flz,-12.5722,0.0374,-9.4900,0.0000,True,3.0822275334608027
3fmh,-13.8003,0.0383,-10.8300,0.0000,True,2.9703107074569783
2ff,-14.3188,0.0387,-11.4400,0.0000,True,2.878761950286808
2v,-11.7717,0.0357,-8.9700,0.0000,True,2.8017495219885267
2j,-12.8374,0.0373,-10.0800,0.0000,True,2.757428298279158
2i,-12.7909,0.0373,-10.0500,0.0000,True,2.740893881453153
2n,-14.4404,0.0399,-11.8500,0.0000,True,2.590439770554493
2l,-14.8083,0.0377,-12.2600,0.0000,True,2.548317399617591
2k,-13.0816,0.0374,-10.5500,0.0000,True,2.531596558317399
3fln,-12.9499,0.0375,-10.8800,0.0000,True,2.069904397705543
2z,-12.4238,0.0394,-10.3600,0.0000,True,2.0637571701720843
2q,-14.3157,0.0411,-12.2600,0.0000,True,2.0557265774378584
2gg,-12.4598,0.0399,-10.6600,0.0000,True,1.7998231357552577
2x,-11.8711,0.0373,-10.2300,0.0000,True,1.6411281070745687
3fly,-12.9629,0.0367,-11.4200,0.0000,True,1.5429302103250468
2e,-12.0973,0.0376,-10.7000,0.0000,True,1.3972753346080313
2h,-10.8459,0.0374,-9.4800,0.0000,True,1.3659130019120451
2ee,-13.1240,0.0399,-12.2600,0.0000,True,0.8640200764818354
