mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
2f,-10.6745,0.0373,-8.4800,0.0000,True,2.1944897930491525
2ee,-10.0845,0.0399,-12.2600,0.0000,True,2.175495866606677
2m,-12.8455,0.0379,-10.9600,0.0000,True,1.8855222978292665
2h,-7.8064,0.0374,-9.4800,0.0000,True,1.6736029411764672
2e,-9.0578,0.0376,-10.7000,0.0000,True,1.6422406084804813
2r,-12.3227,0.0400,-10.7900,0.0000,True,1.532721150601736
3fly,-9.9234,0.0367,-11.4200,0.0000,True,1.4965857327634657
2x,-8.8316,0.0373,-10.2300,0.0000,True,1.3983878360139437
2bb,-10.3740,0.0405,-9.0600,0.0000,True,1.3140117815768786
3flq,-11.2287,0.0406,-9.9300,0.0000,True,1.2987440951524052
2gg,-9.4203,0.0399,-10.6600,0.0000,True,1.239692807333255
3flw,-11.8368,0.0401,-10.6800,0.0000,True,1.1568463896074723
2c,-11.5169,0.0367,-10.4600,0.0000,True,1.056889410639976
2o,-11.5434,0.0408,-10.4900,0.0000,True,1.0533712462040303
2q,-11.2762,0.0411,-12.2600,0.0000,True,0.983789365650654
2z,-9.3842,0.0394,-10.3600,0.0000,True,0.9757587729164284
3fln,-9.9104,0.0375,-10.8800,0.0000,True,0.9696115453829693
2y,-10.5076,0.0391,-9.7800,0.0000,True,0.7275681869306075
2t,-12.5260,0.0376,-11.8500,0.0000,True,0.67597162861321
2u,-12.8414,0.0430,-12.2600,0.0000,True,0.5813874985940887
2k,-10.0421,0.0374,-10.5500,0.0000,True,0.5079193847711134
2l,-11.7688,0.0377,-12.2600,0.0000,True,0.49119854347092173
2s,-11.5915,0.0404,-11.1100,0.0000,True,0.48153090203576965
2n,-11.4009,0.0399,-11.8500,0.0000,True,0.44907617253401927
3fmk,-12.2571,0.0389,-11.8300,0.0000,True,0.427114076031944
2i,-9.7514,0.0373,-10.0500,0.0000,True,0.29862206163535937
2aa,-9.5650,0.0400,-9.2700,0.0000,True,0.29502516589810346
2j,-9.7979,0.0373,-10.0800,0.0000,True,0.28208764480935483
2v,-8.7322,0.0357,-8.9700,0.0000,True,0.23776642109998586
2g,-10.8821,0.0375,-10.6600,0.0000,True,0.22209017545833104
2ff,-11.2792,0.0387,-11.4400,0.0000,True,0.16075399280170466
2p,-11.3058,0.0407,-11.2000,0.0000,True,0.10579954448319
3fmh,-10.7608,0.0383,-10.8300,0.0000,True,0.069205235631534
3flz,-9.5327,0.0374,-9.4900,0.0000,True,0.04271159037229028
