mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
20670,-20.4391,0.0479,-9.0800,0.0000,True,11.359149139579348
23470,-18.8995,0.0486,-7.7200,0.0000,True,11.179521988527723
23482,-20.8741,0.0501,-10.0100,0.0000,True,10.864067877629063
23475,-18.9404,0.0473,-8.7200,0.0000,True,10.22043977055449
23472,-18.6935,0.0486,-8.6500,0.0000,True,10.043451242829825
23476,-19.4051,0.0489,-9.4100,0.0000,True,9.995066921606117
23467,-17.2517,0.0455,-7.3400,0.0000,True,9.911696940726577
23473,-17.9278,0.0481,-8.3900,0.0000,True,9.53779636711281
23484,-17.1181,0.0516,-7.7500,0.0000,True,9.368140535372847
23486,-21.7535,0.0512,-12.4700,0.0000,True,9.283513384321223
23477,-18.0636,0.0482,-8.8500,0.0000,True,9.213599426386235
23480,-17.7475,0.0489,-8.7200,0.0000,True,9.027466539196938
23474,-17.7535,0.0487,-9.1100,0.0000,True,8.643513384321222
23330,-18.6910,0.0500,-10.1300,0.0000,True,8.561013384321221
23479,-17.4580,0.0496,-9.1400,0.0000,True,8.318030592734223
20669,-16.9137,0.0476,-8.6100,0.0000,True,8.303742829827916
20667,-18.9820,0.0516,-11.4200,0.0000,True,7.562002868068832
23469,-15.0100,0.0492,-7.7200,0.0000,True,7.290014340344169
23466,-14.8785,0.0460,-7.8500,0.0000,True,7.0285372848948375
23471,-14.1285,0.0472,-7.7500,0.0000,True,6.378513384321224
23483,-15.3842,0.0508,-9.8700,0.0000,True,5.514201720841302
23485,-16.2822,0.0518,-11.0100,0.0000,True,5.2721940726577445
23468,-12.4629,0.0478,-7.7500,0.0000,True,4.712906309751433
