mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
23468,-3.8721,0.0478,-7.7500,0.0000,True,3.877901529636712
23485,-7.6914,0.0518,-11.0100,0.0000,True,3.3186137667304
23483,-6.7934,0.0508,-9.8700,0.0000,True,3.076606118546842
20670,-11.8483,0.0479,-9.0800,0.0000,True,2.768341300191203
23470,-10.3087,0.0486,-7.7200,0.0000,True,2.5887141491395784
23482,-12.2833,0.0501,-10.0100,0.0000,True,2.273260038240919
23471,-5.5377,0.0472,-7.7500,0.0000,True,2.212294455066921
23475,-10.3496,0.0473,-8.7200,0.0000,True,1.6296319311663456
23466,-6.2877,0.0460,-7.8500,0.0000,True,1.5622705544933067
23472,-10.1026,0.0486,-8.6500,0.0000,True,1.452643403441681
23476,-10.8143,0.0489,-9.4100,0.0000,True,1.4042590822179728
23467,-8.6609,0.0455,-7.3400,0.0000,True,1.3208891013384325
23469,-6.4192,0.0492,-7.7200,0.0000,True,1.3007934990439758
20667,-10.3912,0.0516,-11.4200,0.0000,True,1.0288049713193126
23473,-9.3370,0.0481,-8.3900,0.0000,True,0.946988527724666
23484,-8.5273,0.0516,-7.7500,0.0000,True,0.7773326959847027
23486,-13.1627,0.0512,-12.4700,0.0000,True,0.6927055449330783
23477,-9.4728,0.0482,-8.8500,0.0000,True,0.6227915869980905
23480,-9.1567,0.0489,-8.7200,0.0000,True,0.43665869980879346
20669,-8.3229,0.0476,-8.6100,0.0000,True,0.28706500956022885
23479,-8.8672,0.0496,-9.1400,0.0000,True,0.27277724665392167
23474,-9.1627,0.0487,-9.1100,0.0000,True,0.05270554493307851
23330,-10.1002,0.0500,-10.1300,0.0000,True,0.029794455066922982
