mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
6b,-11.5801,0.0434,-8.8900,0.0000,True,2.690114722753344
6a,-11.6982,0.0433,-9.1800,0.0000,True,2.5181596558317385
7a,-10.6424,0.0437,-8.2200,0.0000,True,2.4223996175908202
3b,-10.2554,0.0434,-7.8600,0.0000,True,2.395401529636711
3a,-9.4147,0.0430,-8.3200,0.0000,True,1.0947466539196933
1c,-9.6215,0.0429,-8.5600,0.0000,True,1.0615344168260037
1b,-7.4010,0.0431,-8.4600,0.0000,True,1.059043977055451
1a,-8.4736,0.0433,-7.4800,0.0000,True,0.9936137667304015
5,-6.9463,0.0430,-7.5800,0.0000,True,0.6336806883365197
1d,-7.6608,0.0437,-8.2500,0.0000,True,0.589220841300191
6e,-9.4487,0.0431,-8.9100,0.0000,True,0.5387332695984692
