mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
1b,-6.3616,0.0431,-8.4600,0.0000,True,2.098385624891363
5,-5.9070,0.0430,-7.5800,0.0000,True,1.6730223361724317
6b,-10.5408,0.0434,-8.8900,0.0000,True,1.6507730749174323
1d,-6.6214,0.0437,-8.2500,0.0000,True,1.628562489136103
6a,-10.6588,0.0433,-9.1800,0.0000,True,1.4788180079958266
7a,-9.6031,0.0437,-8.2200,0.0000,True,1.3830579697549084
3b,-9.2161,0.0434,-7.8600,0.0000,True,1.356059881800799
6e,-8.4094,0.0431,-8.9100,0.0000,True,0.5006083782374429
3a,-8.3754,0.0430,-8.3200,0.0000,True,0.05540500608378111
1a,-7.4343,0.0433,-7.4800,0.0000,True,0.0457278811055106
1c,-8.5822,0.0429,-8.5600,0.0000,True,0.022192768990091503
