mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
jmc_23,-6.8288,0.0379,-11.7000,0.0000,True,4.871152007648183
jmc_28,-6.6795,0.0385,-10.9800,0.0000,True,4.3004588910133865
ejm_48,-5.5512,0.0390,-9.0000,0.0000,True,3.448828871892925
ejm_44,-4.3853,0.0386,-7.4200,0.0000,True,3.034722753346081
jmc_27,-8.7292,0.0384,-11.2800,0.0000,True,2.5508173996175914
ejm_46,-9.1570,0.0381,-11.3100,0.0000,True,2.1529971319311674
jmc_30,-8.8366,0.0383,-10.9400,0.0000,True,2.103408221797323
ejm_43,-6.1638,0.0383,-8.2600,0.0000,True,2.0962093690248564
ejm_50,-6.9141,0.0384,-8.9800,0.0000,True,2.065874760994265
ejm_42,-7.8789,0.0375,-9.7800,0.0000,True,1.9010803059273413
ejm_47,-7.9019,0.0403,-9.7000,0.0000,True,1.7980640535372847
ejm_45,-7.9754,0.0383,-9.5600,0.0000,True,1.5845697896749524
ejm_55,-8.0500,0.0372,-9.2100,0.0000,True,1.1600239005736144
ejm_49,-6.6176,0.0387,-7.7500,0.0000,True,1.132361376673041
ejm_54,-9.5681,0.0379,-10.5300,0.0000,True,0.9618833652007637
ejm_31,-8.8743,0.0368,-9.5400,0.0000,True,0.6656692160611849
