mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
jmc_23,-9.0681,0.0379,-11.7000,0.0000,True,2.6318944192160587
jmc_28,-8.9188,0.0385,-10.9800,0.0000,True,2.061201302581263
ejm_31,-11.1136,0.0368,-9.5400,0.0000,True,1.573588372370939
ejm_54,-11.8074,0.0379,-10.5300,0.0000,True,1.27737422323136
ejm_48,-7.7904,0.0390,-9.0000,0.0000,True,1.2095712834608008
ejm_49,-8.8569,0.0387,-7.7500,0.0000,True,1.106896211759082
ejm_55,-10.2892,0.0372,-9.2100,0.0000,True,1.0792336878585094
ejm_44,-6.6245,0.0386,-7.4200,0.0000,True,0.7954651649139571
ejm_45,-10.2147,0.0383,-9.5600,0.0000,True,0.6546877987571713
ejm_47,-10.1412,0.0403,-9.7000,0.0000,True,0.4411935348948391
ejm_42,-10.1182,0.0375,-9.7800,0.0000,True,0.3381772825047825
jmc_27,-10.9684,0.0384,-11.2800,0.0000,True,0.31155981118546744
ejm_50,-9.1534,0.0384,-8.9800,0.0000,True,0.17338282743785863
ejm_43,-8.4030,0.0383,-8.2600,0.0000,True,0.14304821940726628
jmc_30,-11.0758,0.0383,-10.9400,0.0000,True,0.13584936663480057
ejm_46,-11.3963,0.0381,-11.3100,0.0000,True,0.08626045650095643
