mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
CAT-13i,-15.0345,0.0528,-9.2730,0.0000,True,5.761536328871893
CAT-13g,-13.2243,0.0191,-9.0930,0.0000,True,4.1313068833652
CAT-13k,-13.7208,0.0455,-9.7030,0.0000,True,4.01781739961759
CAT-13f,-13.0227,0.0131,-9.0930,0.0000,True,3.9297294455066907
CAT-4m,-12.8309,0.0131,-9.1530,0.0000,True,3.677855640535371
CAT-4c,-11.4445,0.0132,-7.8530,0.0000,True,3.5914550669216063
CAT-4b,-13.0485,0.0133,-9.6330,0.0000,True,3.415542065009561
CAT-4n,-12.4172,0.0135,-9.0930,0.0000,True,3.3242084130019114
CAT-24,-14.4571,0.0131,-11.3500,0.0000,True,3.107146271510517
CAT-13o,-11.5106,0.0132,-8.5430,0.0000,True,2.9676118546845127
CAT-13m,-11.4525,0.0133,-8.7630,0.0000,True,2.6895095602294448
CAT-4a,-10.5785,0.0129,-7.9330,0.0000,True,2.6455372848948358
CAT-13a,-11.3004,0.0123,-8.8430,0.0000,True,2.4574302103250467
CAT-17c,-12.2660,0.0129,-9.8630,0.0000,True,2.403037284894837
CAT-13c,-11.6226,0.0130,-9.3230,0.0000,True,2.299562141491395
CAT-4d,-11.3417,0.0137,-9.1130,0.0000,True,2.22868260038241
CAT-4i,-10.4673,0.0129,-8.2630,0.0000,True,2.2043040152963673
CAT-4p,-12.0864,0.0130,-10.0830,0.0000,True,2.0033527724665388
CAT-17a,-12.6765,0.0129,-10.7330,0.0000,True,1.94352963671128
CAT-13e,-11.8677,0.0131,-9.9630,0.0000,True,1.9046864244741877
CAT-17e,-11.8748,0.0130,-10.0230,0.0000,True,1.8517609942638624
CAT-4k,-9.6797,0.0130,-7.8530,0.0000,True,1.8266606118546838
CAT-13b,-10.9169,0.0129,-9.1230,0.0000,True,1.7939455066921604
CAT-4o,-11.1597,0.0130,-9.3830,0.0000,True,1.7767275334608044
CAT-17f,-11.1653,0.0132,-9.4230,0.0000,True,1.7423441682600387
CAT-17g,-11.4488,0.0125,-9.7430,0.0000,True,1.7057571701720837
CAT-17h,-11.9285,0.0127,-10.3330,0.0000,True,1.5955133843212244
CAT-4j,-10.4676,0.0130,-9.0230,0.0000,True,1.4446386233269595
CAT-13h,-10.9469,0.0132,-9.6330,0.0000,True,1.313892925430211
CAT-17b,-10.8685,0.0131,-10.0230,0.0000,True,0.8454751434034427
CAT-4l,-10.1346,0.0130,-9.3430,0.0000,True,0.7915602294455057
CAT-13d,-11.2262,0.0129,-10.4730,0.0000,True,0.7531711281070732
