mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
CAT-13i,-12.5925,0.0528,-9.2730,0.0000,True,3.319496056405353
CAT-13g,-10.7823,0.0191,-9.0930,0.0000,True,1.6892666108986603
CAT-13d,-8.7841,0.0129,-10.4730,0.0000,True,1.6888691443594666
CAT-4l,-7.6925,0.0130,-9.3430,0.0000,True,1.650480043021034
CAT-17b,-8.4264,0.0131,-10.0230,0.0000,True,1.596565129063097
CAT-13k,-11.2788,0.0455,-9.7030,0.0000,True,1.5757771271510501
CAT-13f,-10.5807,0.0131,-9.0930,0.0000,True,1.487689173040151
CAT-4m,-10.3888,0.0131,-9.1530,0.0000,True,1.2358153680688315
CAT-4c,-9.0024,0.0132,-7.8530,0.0000,True,1.1494147944550666
CAT-13h,-8.5049,0.0132,-9.6330,0.0000,True,1.1281473470363288
CAT-4j,-8.0256,0.0130,-9.0230,0.0000,True,0.9974016491395803
CAT-4b,-10.6065,0.0133,-9.6330,0.0000,True,0.9735017925430216
CAT-4n,-9.9752,0.0135,-9.0930,0.0000,True,0.8821681405353717
CAT-17h,-9.4865,0.0127,-10.3330,0.0000,True,0.8465268881453154
CAT-17g,-9.0067,0.0125,-9.7430,0.0000,True,0.7362831022944559
CAT-17f,-8.7233,0.0132,-9.4230,0.0000,True,0.6996961042065012
CAT-4o,-8.7177,0.0130,-9.3830,0.0000,True,0.6653127390057355
CAT-24,-12.0151,0.0131,-11.3500,0.0000,True,0.665105999043977
CAT-13b,-8.4749,0.0129,-9.1230,0.0000,True,0.6480947657743793
CAT-4k,-7.2376,0.0130,-7.8530,0.0000,True,0.615379660611856
CAT-17e,-9.4327,0.0130,-10.0230,0.0000,True,0.5902792782026773
CAT-13e,-9.4256,0.0131,-9.9630,0.0000,True,0.5373538479923521
CAT-13o,-9.0686,0.0132,-8.5430,0.0000,True,0.5255715822179727
CAT-17a,-10.2345,0.0129,-10.7330,0.0000,True,0.4985106357552599
CAT-4p,-9.6443,0.0130,-10.0830,0.0000,True,0.43868750000000106
CAT-13m,-9.0105,0.0133,-8.7630,0.0000,True,0.2474692877629051
CAT-4i,-8.0253,0.0129,-8.2630,0.0000,True,0.23773625717017263
CAT-4d,-8.8996,0.0137,-9.1130,0.0000,True,0.21335767208412965
CAT-4a,-8.1365,0.0129,-7.9330,0.0000,True,0.2034970124282958
CAT-13c,-9.1805,0.0130,-9.3230,0.0000,True,0.14247813097514483
CAT-17c,-9.8240,0.0129,-9.8630,0.0000,True,0.03900298757170267
CAT-13a,-8.8584,0.0123,-8.8430,0.0000,True,0.01538993785850673
