mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
1h1s,-7.7735,0.0163,-11.2500,0.0000,True,3.4764579349904388
28,-8.0444,0.0163,-11.1100,0.0000,True,3.0656166347992353
1oiy,-7.0662,0.0153,-9.7900,0.0000,True,2.723843212237093
29,-7.2464,0.0161,-9.8800,0.0000,True,2.6336328871892936
31,-7.0049,0.0154,-9.5400,0.0000,True,2.5350525812619495
30,-7.2839,0.0156,-9.8100,0.0000,True,2.5260611854684516
32,-7.4977,0.0172,-9.7500,0.0000,True,2.252270554493309
20,-6.7994,0.0153,-8.7200,0.0000,True,1.920645315487573
1oi9,-8.0008,0.0144,-9.7400,0.0000,True,1.7392112810707472
1h1q,-6.6628,0.0137,-8.1800,0.0000,True,1.517237093690248
22,-6.4949,0.0147,-7.8600,0.0000,True,1.3651147227533458
21,-6.5048,0.0145,-7.8300,0.0000,True,1.325219885277246
26,-7.3225,0.0143,-8.4300,0.0000,True,1.1074617590822189
1oiu,-8.3216,0.0165,-9.0800,0.0000,True,0.7584416826003834
1h1r,-7.0741,0.0141,-7.6700,0.0000,True,0.5959321223709365
17,-7.2051,0.0141,-7.0400,0.0000,True,0.16509082217973187
