mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
17,-9.0412,0.0141,-7.0400,0.0000,True,2.0011600740917785
1h1s,-9.6096,0.0163,-11.2500,0.0000,True,1.6403886830783934
1h1r,-8.9101,0.0141,-7.6700,0.0000,True,1.2401371295411099
28,-9.8805,0.0163,-11.1100,0.0000,True,1.2295473828871881
1oiu,-10.1576,0.0165,-9.0800,0.0000,True,1.077627569311664
1oiy,-8.9022,0.0153,-9.7900,0.0000,True,0.8877739603250465
29,-9.0824,0.0161,-9.8800,0.0000,True,0.797563635277247
26,-9.1586,0.0143,-8.4300,0.0000,True,0.7286074928298276
31,-8.8410,0.0154,-9.5400,0.0000,True,0.698983329349904
30,-9.1200,0.0156,-9.8100,0.0000,True,0.6899919335564058
21,-8.3408,0.0145,-7.8300,0.0000,True,0.5108493666348012
22,-8.3310,0.0147,-7.8600,0.0000,True,0.4709545291587006
32,-9.3338,0.0172,-9.7500,0.0000,True,0.4162013025812614
1h1q,-8.4988,0.0137,-8.1800,0.0000,True,0.31883215822179845
1oi9,-9.8369,0.0144,-9.7400,0.0000,True,0.09685797084130018
20,-8.6354,0.0153,-8.7200,0.0000,True,0.08457606357552651
