mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
18628-1,-6.3581,0.0142,-8.7000,0.0000,True,2.341921606118546
18628-1_flip,-6.6257,0.0139,-8.7000,0.0000,True,2.0743068833651996
18631-1 flip,-7.8808,0.0142,-9.4100,0.0000,True,1.5292399617590815
18632-1,-7.5646,0.0142,-9.0800,0.0000,True,1.5153967495219889
18635-1 flip,-8.6806,0.0145,-7.2900,0.0000,True,1.3906405353728486
18652-1 flip,-9.3269,0.0171,-10.6800,0.0000,True,1.3530879541108978
18625-1,-6.8192,0.0138,-8.1100,0.0000,True,1.2908317399617588
18658-1 flip,-8.5195,0.0155,-9.7000,0.0000,True,1.1804971319311661
18630-1,-7.9745,0.0138,-9.1400,0.0000,True,1.1654541108986638
18637-1 flip,-8.9749,0.0165,-10.1400,0.0000,True,1.1650956022944554
18658-1,-8.5763,0.0157,-9.7000,0.0000,True,1.1237093690248563
18638-1,-9.0824,0.0163,-10.0900,0.0000,True,1.007590822179733
18638-1 flip,-9.0912,0.0164,-10.0900,0.0000,True,0.9988432122370944
18631-1,-8.4643,0.0143,-9.4100,0.0000,True,0.9456835564053528
18659-1 flip,-8.6066,0.0159,-9.4700,0.0000,True,0.8634034416826015
18624-1,-7.6526,0.0136,-8.4900,0.0000,True,0.8373948374760986
18634-1 flip,-9.1569,0.0147,-9.9900,0.0000,True,0.8330688336520075
18629-1 flip,-7.8623,0.0139,-8.6700,0.0000,True,0.8076912045889112
18652-1,-9.8814,0.0174,-10.6800,0.0000,True,0.7985946462715096
18626-1,-8.0789,0.0138,-8.8700,0.0000,True,0.7910564053537276
18625-1 flip,-7.3434,0.0136,-8.1100,0.0000,True,0.7666443594646275
18660-1 flip,-7.9717,0.0168,-8.7000,0.0000,True,0.7283221797323135
18632-1 flip,-8.4146,0.0143,-9.0800,0.0000,True,0.6653967495219898
18633-1,-8.5171,0.0141,-9.1700,0.0000,True,0.6528871892925441
18636-1,-8.1578,0.0140,-7.5100,0.0000,True,0.6477676864244746
18637-1,-9.5324,0.0174,-10.1400,0.0000,True,0.60756692160612
18639-1 flip,-9.2778,0.0153,-9.7400,0.0000,True,0.4621558317399625
18634-1,-9.5933,0.0148,-9.9900,0.0000,True,0.396692160611856
18626-1 flip,-8.5048,0.0138,-8.8700,0.0000,True,0.36524378585086015
18639-1,-10.0601,0.0156,-9.7400,0.0000,True,0.32008604206500874
18629-1,-8.4172,0.0141,-8.6700,0.0000,True,0.25283938814531653
18635-1,-7.5324,0.0142,-7.2900,0.0000,True,0.24238527724665335
18660-1,-8.9142,0.0169,-8.7000,0.0000,True,0.2141969407265775
17124-1,-9.8779,0.0151,-9.6800,0.0000,True,0.1979158699808795
18636-1 flip,-7.3218,0.0139,-7.5100,0.0000,True,0.18817877629063107
18627-1,-8.6429,0.0138,-8.4800,0.0000,True,0.16285372848948307
18659-1,-9.3680,0.0156,-9.4700,0.0000,True,0.10197896749522098
17124-1 flip,-9.6088,0.0153,-9.6800,0.0000,True,0.0712045889101333
