mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
18635-1 flip,-9.3308,0.0145,-7.2900,0.0000,True,2.0408019271409863
18628-1,-7.0082,0.0142,-8.7000,0.0000,True,1.6917602143504085
18628-1_flip,-7.2759,0.0139,-8.7000,0.0000,True,1.424145491597062
18636-1,-8.8079,0.0140,-7.5100,0.0000,True,1.297929078192612
18639-1,-10.7102,0.0156,-9.7400,0.0000,True,0.9702474338331463
18635-1,-8.1825,0.0142,-7.2900,0.0000,True,0.8925466690147917
18631-1 flip,-8.5309,0.0142,-9.4100,0.0000,True,0.879078569990944
18632-1,-8.2148,0.0142,-9.0800,0.0000,True,0.8652353577538514
18660-1,-9.5644,0.0169,-8.7000,0.0000,True,0.864358332494715
17124-1,-10.5281,0.0151,-9.6800,0.0000,True,0.848077261749017
18627-1,-9.2930,0.0138,-8.4800,0.0000,True,0.8130151202576206
18652-1 flip,-9.9771,0.0171,-10.6800,0.0000,True,0.7029265623427602
18625-1,-7.4693,0.0138,-8.1100,0.0000,True,0.6406703481936212
17124-1 flip,-10.2590,0.0153,-9.6800,0.0000,True,0.5789568028580042
18659-1,-10.0182,0.0156,-9.4700,0.0000,True,0.5481824242729165
18658-1 flip,-9.1697,0.0155,-9.7000,0.0000,True,0.5303357401630286
18630-1,-8.6247,0.0138,-9.1400,0.0000,True,0.5152927191305262
18637-1 flip,-9.6251,0.0165,-10.1400,0.0000,True,0.5149342105263179
18658-1,-9.2265,0.0157,-9.7000,0.0000,True,0.4735479772567188
18636-1 flip,-7.9720,0.0139,-7.5100,0.0000,True,0.4619826154775073
18629-1,-9.0673,0.0141,-8.6700,0.0000,True,0.397322003622821
18638-1,-9.7326,0.0163,-10.0900,0.0000,True,0.3574294304115955
18638-1 flip,-9.7413,0.0164,-10.0900,0.0000,True,0.34868182046895685
18631-1,-9.1145,0.0143,-9.4100,0.0000,True,0.2955221646372153
18626-1 flip,-9.1549,0.0138,-8.8700,0.0000,True,0.28491760591727733
18634-1,-10.2435,0.0148,-9.9900,0.0000,True,0.2534692311562815
18659-1 flip,-9.2568,0.0159,-9.4700,0.0000,True,0.21324204991446402
18639-1 flip,-9.9280,0.0153,-9.7400,0.0000,True,0.188005560028175
18624-1,-8.3028,0.0136,-8.4900,0.0000,True,0.18723344570796102
18634-1 flip,-9.8071,0.0147,-9.9900,0.0000,True,0.18290744188386998
18629-1 flip,-8.5125,0.0139,-8.6700,0.0000,True,0.15752981282077372
18652-1,-10.5316,0.0174,-10.6800,0.0000,True,0.14843325450337203
18626-1,-8.7291,0.0138,-8.8700,0.0000,True,0.1408950135855901
18625-1 flip,-7.9935,0.0136,-8.1100,0.0000,True,0.11648296769649079
18660-1 flip,-8.6218,0.0168,-8.7000,0.0000,True,0.078160787964176
18637-1,-10.1826,0.0174,-10.1400,0.0000,True,0.04259447016201746
18632-1 flip,-9.0648,0.0143,-9.0800,0.0000,True,0.015235357753852243
18633-1,-9.1673,0.0141,-9.1700,0.0000,True,0.002725797524406512
