mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
65,-12.5292,0.0137,-8.4100,0.0000,True,4.119158699808794
58,-13.3103,0.0137,-9.4100,0.0000,True,3.900277246653919
63,-12.6663,0.0137,-9.0600,0.0000,True,3.606324091778202
67,-11.0375,0.0134,-7.5800,0.0000,True,3.457523900573613
38 flip,-10.2436,0.0141,-7.0200,0.0000,True,3.223618546845124
40,-10.4451,0.0145,-7.2500,0.0000,True,3.1950525812619506
40 flip,-9.9655,0.0144,-7.2500,0.0000,True,2.7154636711281075
34,-9.5375,0.0134,-6.8700,0.0000,True,2.6674760994263864
41,-9.5499,0.0143,-7.1300,0.0000,True,2.4198565965583176
29,-9.3007,0.0139,-6.9400,0.0000,True,2.3606692160611846
62 flip,-10.2587,0.0143,-7.9600,0.0000,True,2.2986520076481827
33,-8.9956,0.0134,-6.8800,0.0000,True,2.1156022944550665
47 flip,-7.8686,0.0136,-5.7800,0.0000,True,2.0885707456978966
49,-10.4118,0.0136,-8.3600,0.0000,True,2.051830783938814
53,-11.9653,0.0137,-9.9600,0.0000,True,2.0052963671128095
52,-11.1777,0.0134,-9.2300,0.0000,True,1.9477485659655815
62,-9.8798,0.0140,-7.9600,0.0000,True,1.9197562141491398
48,-4.7888,0.0138,-6.6600,0.0000,True,1.871209369024857
47,-7.5896,0.0136,-5.7800,0.0000,True,1.8096032504780108
48 flip,-4.8956,0.0137,-6.6600,0.0000,True,1.7644216061185474
32,-8.3238,0.0135,-6.5800,0.0000,True,1.7438049713193107
56,-10.9713,0.0140,-9.2600,0.0000,True,1.711319311663481
60,-10.5961,0.0139,-8.9200,0.0000,True,1.6761042065009555
49 flip,-9.9974,0.0139,-8.3600,0.0000,True,1.6374426386233278
61,-9.7046,0.0142,-8.0800,0.0000,True,1.6245650095602304
43 flip,-8.6505,0.0136,-7.0300,0.0000,True,1.6204541108986612
46 flip,-9.1498,0.0138,-7.6000,0.0000,True,1.5498326959847029
23,-7.3301,0.0139,-8.8300,0.0000,True,1.4999091778202684
38,-8.4944,0.0142,-7.0200,0.0000,True,1.4744072657743785
29 flip,-5.5944,0.0141,-6.9400,0.0000,True,1.3455927342256224
46,-8.8763,0.0136,-7.6000,0.0000,True,1.2762906309751425
51,-7.2161,0.0138,-8.4500,0.0000,True,1.233938814531548
37,-10.1500,0.0135,-8.9500,0.0000,True,1.2000000000000002
31,-9.0871,0.0136,-7.9200,0.0000,True,1.1671175908221783
42,-7.7604,0.0139,-8.9000,0.0000,True,1.1395554493307833
66 flip,-9.5256,0.0138,-8.4300,0.0000,True,1.095621414913958
27,-7.1788,0.0134,-6.1200,0.0000,True,1.0587523900573612
42 flip,-7.8444,0.0138,-8.9000,0.0000,True,1.0556166347992348
52 flip,-10.2794,0.0137,-9.2300,0.0000,True,1.0493738049713175
66,-9.4391,0.0137,-8.4300,0.0000,True,1.0090774378585075
39,-8.0296,0.0388,-7.0300,0.0000,True,0.9996128107074566
36,-9.0943,0.0140,-8.1800,0.0000,True,0.9143116634799249
57,-8.1262,0.0140,-9.0400,0.0000,True,0.9137571701720845
23 flip,-8.0916,0.0137,-8.8300,0.0000,True,0.738413001912046
31 flip,-8.6333,0.0137,-7.9200,0.0000,True,0.7133173996175899
44,-7.9649,0.0136,-8.6700,0.0000,True,0.7050860420650095
26 flip,-8.8664,0.0136,-8.2400,0.0000,True,0.6264196940726571
64,-10.1199,0.0137,-9.5000,0.0000,True,0.6199091778202672
50,-9.8754,0.0138,-9.3300,0.0000,True,0.5454302103250479
64 flip,-10.0047,0.0137,-9.5000,0.0000,True,0.50470841300191
45,-8.4514,0.0139,-8.9500,0.0000,True,0.49858986615678647
68 flip,-8.1748,0.0134,-7.6900,0.0000,True,0.48476099426386154
57 flip,-8.5636,0.0138,-9.0400,0.0000,True,0.4764005736137666
35 flip,-9.2519,0.0133,-8.8100,0.0000,True,0.4419359464627137
30,-7.4133,0.0135,-7.8500,0.0000,True,0.4366873804971323
36 flip,-8.6163,0.0139,-8.1800,0.0000,True,0.43634799235181776
26,-7.8331,0.0137,-8.2400,0.0000,True,0.406945506692161
30 flip,-7.5132,0.0133,-7.8500,0.0000,True,0.33683078393881494
28 flip,-6.9370,0.0136,-6.6200,0.0000,True,0.31699808795411066
54 flip,-9.4926,0.0136,-9.7800,0.0000,True,0.2873613766730402
28,-6.8878,0.0137,-6.6200,0.0000,True,0.26783460803059245
44 flip,-8.4387,0.0140,-8.6700,0.0000,True,0.23132887189292564
41 flip,-7.3478,0.0145,-7.1300,0.0000,True,0.21777724665391923
43,-6.8969,0.0136,-7.0300,0.0000,True,0.13305927342256263
51 flip,-8.3782,0.0139,-8.4500,0.0000,True,0.07184512428298177
68,-7.7474,0.0136,-7.6900,0.0000,True,0.05737093690248407
35,-8.7947,0.0137,-8.8100,0.0000,True,0.015305927342257563
54,-9.7747,0.0136,-9.7800,0.0000,True,0.005310707456978308
