mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
65,-11.6354,0.0137,-8.4100,0.0000,True,3.2253908446743886
58,-12.4165,0.0137,-9.4100,0.0000,True,3.0065093915195136
48,-3.8950,0.0138,-6.6600,0.0000,True,2.7649772241592627
63,-11.7726,0.0137,-9.0600,0.0000,True,2.7125562366437963
48 flip,-4.0018,0.0137,-6.6600,0.0000,True,2.658189461252953
67,-10.1438,0.0134,-7.5800,0.0000,True,2.5637560454392077
23,-6.4363,0.0139,-8.8300,0.0000,True,2.393677032954674
38 flip,-9.3499,0.0141,-7.0200,0.0000,True,2.3298506917107185
40,-9.5513,0.0145,-7.2500,0.0000,True,2.301284726127545
29 flip,-4.7006,0.0141,-6.9400,0.0000,True,2.239360589360028
51,-6.3223,0.0138,-8.4500,0.0000,True,2.1277066696659537
42,-6.8667,0.0139,-8.9000,0.0000,True,2.033323304465189
42 flip,-6.9506,0.0138,-8.9000,0.0000,True,1.9493844899336403
40 flip,-9.0717,0.0144,-7.2500,0.0000,True,1.8216958159937022
57,-7.2325,0.0140,-9.0400,0.0000,True,1.80752502530649
34,-8.6437,0.0134,-6.8700,0.0000,True,1.773708244291981
23 flip,-7.1978,0.0137,-8.8300,0.0000,True,1.6321808570464515
44,-7.0711,0.0136,-8.6700,0.0000,True,1.598853897199415
41,-8.6561,0.0143,-7.1300,0.0000,True,1.5260887414239122
29,-8.4069,0.0139,-6.9400,0.0000,True,1.4669013609267791
62 flip,-9.3649,0.0143,-7.9600,0.0000,True,1.4048841525137774
45,-7.5576,0.0139,-8.9500,0.0000,True,1.392357721291192
57 flip,-7.6698,0.0138,-9.0400,0.0000,True,1.3701684287481721
30,-6.5195,0.0135,-7.8500,0.0000,True,1.3304552356315378
26,-6.9393,0.0137,-8.2400,0.0000,True,1.3007133618265665
30 flip,-6.6194,0.0133,-7.8500,0.0000,True,1.2305986390732204
33,-8.1018,0.0134,-6.8800,0.0000,True,1.2218344393206608
47 flip,-6.9748,0.0136,-5.7800,0.0000,True,1.1948028905634909
54 flip,-8.5989,0.0136,-9.7800,0.0000,True,1.1811292318074458
49,-9.5181,0.0136,-8.3600,0.0000,True,1.1580629288044086
44 flip,-7.5449,0.0140,-8.6700,0.0000,True,1.125096727027331
53,-11.0715,0.0137,-9.9600,0.0000,True,1.1115285119784037
52,-10.2840,0.0134,-9.2300,0.0000,True,1.053980710831176
43,-6.0032,0.0136,-7.0300,0.0000,True,1.0268271285569681
62,-8.9860,0.0140,-7.9600,0.0000,True,1.0259883590147343
51 flip,-7.4844,0.0139,-8.4500,0.0000,True,0.9656129794173873
47,-6.6958,0.0136,-5.7800,0.0000,True,0.9158353953436054
35,-7.9009,0.0137,-8.8100,0.0000,True,0.909073782476663
54,-8.8809,0.0136,-9.7800,0.0000,True,0.8990785625913839
32,-7.4300,0.0135,-6.5800,0.0000,True,0.8500371161849052
68,-6.8536,0.0136,-7.6900,0.0000,True,0.8363969182319214
56,-10.0776,0.0140,-9.2600,0.0000,True,0.8175514565290755
60,-9.7023,0.0139,-8.9200,0.0000,True,0.7823363513665499
49 flip,-9.1037,0.0139,-8.3600,0.0000,True,0.7436747834889224
61,-8.8108,0.0142,-8.0800,0.0000,True,0.7307971544258249
43 flip,-7.7567,0.0136,-7.0300,0.0000,True,0.7266862557642556
41 flip,-6.4540,0.0145,-7.1300,0.0000,True,0.6759906084804863
46 flip,-8.2561,0.0138,-7.6000,0.0000,True,0.6560648408502974
28,-5.9941,0.0137,-6.6200,0.0000,True,0.625933247103813
38,-7.6006,0.0142,-7.0200,0.0000,True,0.580639410639973
28 flip,-6.0432,0.0136,-6.6200,0.0000,True,0.5767697671802948
36 flip,-7.7226,0.0139,-8.1800,0.0000,True,0.4574198627825878
35 flip,-8.3582,0.0133,-8.8100,0.0000,True,0.45183190867169176
68 flip,-7.2810,0.0134,-7.6900,0.0000,True,0.409006860870544
64 flip,-9.1109,0.0137,-9.5000,0.0000,True,0.38905944213249544
46,-7.9825,0.0136,-7.6000,0.0000,True,0.38252277584073696
50,-8.9817,0.0138,-9.3300,0.0000,True,0.34833764480935764
37,-9.2562,0.0135,-8.9500,0.0000,True,0.30623214486559475
64,-9.2261,0.0137,-9.5000,0.0000,True,0.27385867731413827
31,-8.1933,0.0136,-7.9200,0.0000,True,0.2733497356877728
26 flip,-7.9727,0.0136,-8.2400,0.0000,True,0.2673481610617484
66 flip,-8.6319,0.0138,-8.4300,0.0000,True,0.2018535597795524
31 flip,-7.7395,0.0137,-7.9200,0.0000,True,0.18045045551681563
27,-6.2850,0.0134,-6.1200,0.0000,True,0.16498453492295567
52 flip,-9.3856,0.0137,-9.2300,0.0000,True,0.15560594983691203
66,-8.5453,0.0137,-8.4300,0.0000,True,0.11530958272410184
39,-7.1358,0.0388,-7.0300,0.0000,True,0.10584495557305104
36,-8.2005,0.0140,-8.1800,0.0000,True,0.020543808345519388
