mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
2m,-16.2885,0.0144,-10.9600,0.0000,True,5.328479923518162
2f,-13.0384,0.0136,-8.4800,0.0000,True,4.5584321223709345
2o,-15.0234,0.0160,-10.4900,0.0000,True,4.5334225621414905
2r,-15.2811,0.0152,-10.7900,0.0000,True,4.491070745697898
2t,-16.0256,0.0145,-11.8500,0.0000,True,4.1756453154875715
3flq,-14.0330,0.0154,-9.9300,0.0000,True,4.102982791586998
3flz,-13.3106,0.0138,-9.4900,0.0000,True,3.8206357552581243
3flw,-14.3339,0.0154,-10.6800,0.0000,True,3.6538910133843214
2c,-14.0836,0.0134,-10.4600,0.0000,True,3.6235803059273404
2y,-13.3765,0.0150,-9.7800,0.0000,True,3.5965057361376678
2s,-14.6965,0.0154,-11.1100,0.0000,True,3.586486615678776
2i,-13.5515,0.0136,-10.0500,0.0000,True,3.5015296367112785
3fmh,-14.2767,0.0141,-10.8300,0.0000,True,3.4466730401529646
2j,-13.4871,0.0138,-10.0800,0.0000,True,3.407141491395793
2ff,-14.6708,0.0143,-11.4400,0.0000,True,3.2308173996175915
2bb,-12.1854,0.0151,-9.0600,0.0000,True,3.1254206500956023
2g,-13.7359,0.0141,-10.6600,0.0000,True,3.0758508604206485
2q,-15.3009,0.0163,-12.2600,0.0000,True,3.04088432122371
2aa,-12.2882,0.0148,-9.2700,0.0000,True,3.0182409177820273
2p,-14.1906,0.0159,-11.2000,0.0000,True,2.9906309751434046
3fmk,-14.8205,0.0145,-11.8300,0.0000,True,2.990506692160611
3fln,-13.7918,0.0139,-10.8800,0.0000,True,2.911849904397704
2k,-13.4197,0.0138,-10.5500,0.0000,True,2.869741873804971
2u,-15.0223,0.0166,-12.2600,0.0000,True,2.7622514340344164
2x,-12.9883,0.0138,-10.2300,0.0000,True,2.75826481835564
2z,-13.0956,0.0145,-10.3600,0.0000,True,2.7356261950286798
2l,-14.8996,0.0139,-12.2600,0.0000,True,2.639617590822181
2v,-11.5420,0.0128,-8.9700,0.0000,True,2.5719694072657737
2n,-14.3920,0.0152,-11.8500,0.0000,True,2.5420172084130024
2e,-12.6212,0.0134,-10.7000,0.0000,True,1.921175908221798
2gg,-12.5402,0.0153,-10.6600,0.0000,True,1.8802246653919683
3fly,-12.9488,0.0131,-11.4200,0.0000,True,1.528757170172083
2h,-10.5246,0.0141,-9.4800,0.0000,True,1.0445697896749506
2ee,-13.1324,0.0155,-12.2600,0.0000,True,0.8724330783938822
