mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
2ee,-10.0049,0.0155,-12.2600,0.0000,True,2.255135389719942
2m,-13.1609,0.0144,-10.9600,0.0000,True,2.200911455404338
2h,-7.3970,0.0141,-9.4800,0.0000,True,2.0829986784388734
3fly,-9.8212,0.0131,-11.4200,0.0000,True,1.598811297941741
2f,-9.9109,0.0136,-8.4800,0.0000,True,1.4308636542571105
2o,-11.8959,0.0160,-10.4900,0.0000,True,1.405854094027666
2r,-12.1535,0.0152,-10.7900,0.0000,True,1.3635022775840733
2gg,-9.4127,0.0153,-10.6600,0.0000,True,1.247343802721856
2e,-9.4936,0.0134,-10.7000,0.0000,True,1.206392559892026
2t,-12.8981,0.0145,-11.8500,0.0000,True,1.0480768473737474
3flq,-10.9054,0.0154,-9.9300,0.0000,True,0.9754143234731736
3flz,-10.1831,0.0138,-9.4900,0.0000,True,0.6930672871443003
2n,-11.2644,0.0152,-11.8500,0.0000,True,0.5855512597008216
2v,-8.4144,0.0128,-8.9700,0.0000,True,0.5555990608480503
3flw,-11.2063,0.0154,-10.6800,0.0000,True,0.5263225452704973
2c,-10.9560,0.0134,-10.4600,0.0000,True,0.49601183781351604
2l,-11.7720,0.0139,-12.2600,0.0000,True,0.48795087729164327
2y,-10.2489,0.0150,-9.7800,0.0000,True,0.4689372680238438
2s,-11.5689,0.0154,-11.1100,0.0000,True,0.45891814756495164
2z,-9.9681,0.0145,-10.3600,0.0000,True,0.39194227308514445
2i,-10.4240,0.0136,-10.0500,0.0000,True,0.37396116859745454
2x,-9.8607,0.0138,-10.2300,0.0000,True,0.3693036497581841
2u,-11.8947,0.0166,-12.2600,0.0000,True,0.3653170340794076
3fmh,-11.1491,0.0141,-10.8300,0.0000,True,0.31910457203914033
2j,-10.3596,0.0138,-10.0800,0.0000,True,0.27957302328196887
2k,-10.2922,0.0138,-10.5500,0.0000,True,0.2578265943088534
3fln,-10.6643,0.0139,-10.8800,0.0000,True,0.2157185637161204
3fmk,-11.6929,0.0145,-11.8300,0.0000,True,0.13706177595321312
2p,-11.0631,0.0159,-11.2000,0.0000,True,0.13693749297041946
2aa,-9.1607,0.0148,-9.2700,0.0000,True,0.10932755033179696
2ff,-11.5432,0.0143,-11.4400,0.0000,True,0.10324893150376738
2q,-12.1733,0.0163,-12.2600,0.0000,True,0.08668414689011397
2g,-10.6083,0.0141,-10.6600,0.0000,True,0.05171760769317577
2bb,-9.0579,0.0151,-9.0600,0.0000,True,0.0021478180182219254
