mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
23330,-18.4410,0.0194,-10.1300,0.0000,True,8.311037284894837
23470,-15.0211,0.0188,-7.7200,0.0000,True,7.301128107074569
23480,-15.4136,0.0195,-8.7200,0.0000,True,6.6936233269598455
23473,-14.1876,0.0190,-8.3900,0.0000,True,5.797643403441683
23472,-14.3216,0.0190,-8.6500,0.0000,True,5.671582217973231
23474,-14.7137,0.0189,-9.1100,0.0000,True,5.603742829827916
23469,-13.0585,0.0198,-7.7200,0.0000,True,5.338460803059274
20670,-14.3056,0.0184,-9.0800,0.0000,True,5.225640535372848
23483,-15.0345,0.0198,-9.8700,0.0000,True,5.164488527724666
23477,-13.9704,0.0182,-8.8500,0.0000,True,5.120363288718929
23466,-12.3247,0.0174,-7.8500,0.0000,True,4.474737093690248
23471,-12.0250,0.0183,-7.7500,0.0000,True,4.2750478011472275
23467,-11.3034,0.0176,-7.3400,0.0000,True,3.963417782026769
20669,-12.5678,0.0185,-8.6100,0.0000,True,3.9577581261950288
23486,-16.4028,0.0203,-12.4700,0.0000,True,3.93279636711281
23475,-12.5289,0.0187,-8.7200,0.0000,True,3.8088957934990435
23476,-13.1911,0.0197,-9.4100,0.0000,True,3.781108986615679
23479,-12.8690,0.0191,-9.1400,0.0000,True,3.728953154875715
23468,-11.2814,0.0188,-7.7500,0.0000,True,3.5313575525812615
23482,-12.9944,0.0196,-10.0100,0.0000,True,2.98435946462715
23484,-10.4412,0.0201,-7.7500,0.0000,True,2.691228489483748
20667,-13.9115,0.0206,-11.4200,0.0000,True,2.4915439770554486
23485,-13.0344,0.0204,-11.0100,0.0000,True,2.0244407265774367
