mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
23330,-13.8378,0.0194,-10.1300,0.0000,True,3.7078479092193857
23470,-10.4179,0.0188,-7.7200,0.0000,True,2.6979387313991166
23485,-8.4313,0.0204,-11.0100,0.0000,True,2.5787486490980154
20667,-9.3084,0.0206,-11.4200,0.0000,True,2.1116453986200034
23480,-10.8104,0.0195,-8.7200,0.0000,True,2.0904339512843935
23484,-5.8380,0.0201,-7.7500,0.0000,True,1.9119608861917043
23482,-8.3912,0.0196,-10.0100,0.0000,True,1.618829911048302
23473,-9.5845,0.0190,-8.3900,0.0000,True,1.1944540277662299
23468,-6.6782,0.0188,-7.7500,0.0000,True,1.0718318230941908
23472,-9.7184,0.0190,-8.6500,0.0000,True,1.068392842297779
23474,-10.1106,0.0189,-9.1100,0.0000,True,1.000553454152464
23479,-8.2658,0.0191,-9.1400,0.0000,True,0.8742362207997373
23476,-8.5879,0.0197,-9.4100,0.0000,True,0.8220803890597732
23475,-7.9257,0.0187,-8.7200,0.0000,True,0.7942935821764088
23469,-8.4553,0.0198,-7.7200,0.0000,True,0.7352714273838212
23486,-11.7996,0.0203,-12.4700,0.0000,True,0.6703930085626422
20669,-7.9646,0.0185,-8.6100,0.0000,True,0.6454312494804232
23467,-6.7002,0.0176,-7.3400,0.0000,True,0.6397715936486835
20670,-9.7025,0.0184,-9.0800,0.0000,True,0.6224511596973952
23483,-10.4313,0.0198,-9.8700,0.0000,True,0.5612991520492137
23477,-9.3672,0.0182,-8.8500,0.0000,True,0.5171739130434769
23471,-7.4219,0.0183,-7.7500,0.0000,True,0.3281415745282246
23466,-7.7215,0.0174,-7.8500,0.0000,True,0.12845228198520453
