mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
1d,-10.8186,0.0145,-8.2500,0.0000,True,2.5686424474187377
6b,-11.3808,0.0149,-8.8900,0.0000,True,2.4908078393881437
7a,-10.4697,0.0149,-8.2200,0.0000,True,2.2496701720841292
6e,-10.9265,0.0144,-8.9100,0.0000,True,2.016457934990439
6a,-11.0821,0.0147,-9.1800,0.0000,True,1.9021462715105157
1b,-10.2720,0.0145,-8.4600,0.0000,True,1.81196462715105
1c,-10.1010,0.0147,-8.5600,0.0000,True,1.5409560229445498
1a,-8.8689,0.0143,-7.4800,0.0000,True,1.3889292543021023
3b,-9.0476,0.0147,-7.8600,0.0000,True,1.1875860420650093
5,-8.7180,0.0142,-7.5800,0.0000,True,1.1380449330783944
3a,-8.9914,0.0146,-8.3200,0.0000,True,0.6713718929254294
