mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
3a,-7.2671,0.0146,-8.3200,0.0000,True,1.0528624196071634
1d,-9.0944,0.0145,-8.2500,0.0000,True,0.8444081348861451
6b,-9.6566,0.0149,-8.8900,0.0000,True,0.7665735268555508
5,-6.9938,0.0142,-7.5800,0.0000,True,0.5861893794541985
3b,-7.3234,0.0147,-7.8600,0.0000,True,0.5366482704675833
7a,-8.7454,0.0149,-8.2200,0.0000,True,0.5254358595515364
1a,-7.1447,0.0143,-7.4800,0.0000,True,0.3353050582304904
6e,-9.2022,0.0144,-8.9100,0.0000,True,0.29222362245784594
1c,-8.3767,0.0147,-8.5600,0.0000,True,0.18327828958804307
6a,-9.3579,0.0147,-9.1800,0.0000,True,0.1779119589779229
1b,-8.5477,0.0145,-8.4600,0.0000,True,0.08773031461845718
