mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
ejm_44,-4.4561,0.0144,-7.4200,0.0000,True,2.963929254302103
ejm_46,-8.9959,0.0138,-11.3100,0.0000,True,2.3141108986615677
jmc_28,-8.9619,0.0141,-10.9800,0.0000,True,2.01812141491396
jmc_27,-9.3987,0.0143,-11.2800,0.0000,True,1.8812667304015298
jmc_30,-9.3043,0.0144,-10.9400,0.0000,True,1.6357456978967484
jmc_23,-10.4903,0.0141,-11.7000,0.0000,True,1.2096797323135744
ejm_47,-8.6220,0.0151,-9.7000,0.0000,True,1.0780114722753356
ejm_45,-10.4210,0.0142,-9.5600,0.0000,True,0.8609847036328865
ejm_48,-8.3718,0.0147,-9.0000,0.0000,True,0.6282026768642445
ejm_55,-9.7507,0.0134,-9.2100,0.0000,True,0.5406931166347987
ejm_31,-9.0707,0.0134,-9.5400,0.0000,True,0.4693260038240911
ejm_42,-9.3848,0.0138,-9.7800,0.0000,True,0.3952007648183557
ejm_49,-8.1094,0.0145,-7.7500,0.0000,True,0.3594168260038237
ejm_50,-8.6390,0.0141,-8.9800,0.0000,True,0.34097036328872055
ejm_43,-7.9373,0.0140,-8.2600,0.0000,True,0.3226673040152963
ejm_54,-10.7206,0.0144,-10.5300,0.0000,True,0.19062619502868153
