mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
ejm_44,-5.2877,0.0144,-7.4200,0.0000,True,2.1323347872848935
ejm_45,-11.2526,0.0142,-9.5600,0.0000,True,1.6925791706500963
ejm_46,-9.8275,0.0138,-11.3100,0.0000,True,1.482516431644358
ejm_55,-10.5823,0.0134,-9.2100,0.0000,True,1.3722875836520085
ejm_49,-8.9410,0.0145,-7.7500,0.0000,True,1.1910112930210335
jmc_28,-9.7935,0.0141,-10.9800,0.0000,True,1.1865269478967502
jmc_27,-10.2303,0.0143,-11.2800,0.0000,True,1.0496722633843198
ejm_54,-11.5522,0.0144,-10.5300,0.0000,True,1.0222206620458913
jmc_30,-10.1358,0.0144,-10.9400,0.0000,True,0.8041512308795385
ejm_43,-8.7689,0.0140,-8.2600,0.0000,True,0.5089271630019135
ejm_50,-9.4706,0.0141,-8.9800,0.0000,True,0.4906241037284893
ejm_42,-10.2164,0.0138,-9.7800,0.0000,True,0.43639370219885415
jmc_23,-11.3219,0.0141,-11.7000,0.0000,True,0.3780852652963646
ejm_31,-9.9023,0.0134,-9.5400,0.0000,True,0.36226846319311873
ejm_47,-9.4536,0.0151,-9.7000,0.0000,True,0.2464170052581257
ejm_48,-9.2034,0.0147,-9.0000,0.0000,True,0.20339179015296532
