mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
21 (Xtal),-10.2174,0.1299,-13.0686,0.0000,True,2.8511887731618306
22,-10.3983,0.1827,-13.0686,0.0000,True,2.670261213962332
18 docked,-11.2113,0.2345,-9.5496,0.0000,True,1.6617281361839709
12 docked,-10.1801,0.5391,-8.6124,0.0000,True,1.5677174868127253
11 docked,-11.8529,0.1440,-10.9787,0.0000,True,0.874213661275371
15 docked,-10.9066,0.5434,-10.0438,0.0000,True,0.8628208997066472
13 docked,-10.6895,0.5526,-9.9208,0.0000,True,0.7686378335591367
20,-9.5119,0.2303,-10.0823,0.0000,True,0.5704228817666049
19,-10.8027,0.2407,-10.2494,0.0000,True,0.5532506394020158
16 docked,-11.3844,0.1893,-11.7816,0.0000,True,0.3971599289685058
14 docked,-11.0623,0.1673,-10.8701,0.0000,True,0.19218262410969247
24 pose 2,-13.2903,0.2400,-13.1773,0.0000,True,0.11297613373504292
17 torsion adjust,-10.2194,0.5876,-10.3239,0.0000,True,0.10449461692534798
