mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
21 (Xtal),18 docked,-1.1748,0.0326,3.5190,0.0000,True,4.6938
21 (Xtal),15 docked,-1.1419,0.0367,3.0248,0.0000,True,4.1667
21 (Xtal),12 docked,0.4829,0.0364,4.4562,0.0000,True,3.9733
21 (Xtal),11 docked,-1.6147,0.0342,2.0899,0.0000,True,3.7046
21 (Xtal),17 torsion adjust,-0.4969,0.0340,2.7447,0.0000,True,3.2416
21 (Xtal),19,-0.3803,0.0347,2.8192,0.0000,True,3.1995
21 (Xtal),13 docked,-0.0312,0.0321,3.1478,0.0000,True,3.1790
21 (Xtal),24 pose 2,-3.2664,0.0357,-0.1087,0.0000,True,3.1577
21 (Xtal),14 docked,-0.9368,0.0315,2.1985,0.0000,True,3.1353
22,16 docked,-1.1751,0.0329,1.2870,0.0000,True,2.4621
21 (Xtal),16 docked,-0.9386,0.0303,1.2870,0.0000,True,2.2256
21 (Xtal),20,0.8733,0.0332,2.9863,0.0000,True,2.1130
13 docked,17 torsion adjust,0.9533,0.0336,-0.4031,0.0000,True,1.3563
16 docked,11 docked,-0.4843,0.0299,0.8029,0.0000,True,1.2872
12 docked,15 docked,-0.2948,0.0359,-1.4314,0.0000,True,1.1366
18 docked,19,0.3249,0.0222,-0.6998,0.0000,True,1.0247
24 pose 2,20,3.6611,0.0278,3.0950,0.0000,True,0.5661
14 docked,16 docked,-0.3932,0.0277,-0.9115,0.0000,True,0.5183
21 (Xtal),22,-0.2740,0.0231,0.0000,0.0000,True,0.2740
