mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
cmpd 7,-1.7269,0.1362,-9.4100,0.0000,True,7.683052131928661
cmpd 8,-1.6852,0.1973,-6.8600,0.0000,True,5.174772661404334
cmpd 12,-11.6395,0.0538,-9.1900,0.0000,True,2.449470182319408
cmpd 17,-12.9049,0.0698,-10.7400,0.0000,True,2.164914966255899
cmpd 15,-11.7299,0.0484,-9.6100,0.0000,True,2.119891335465586
cmpd 13,-11.9262,0.0702,-10.1500,0.0000,True,1.776220258542609
cmpd 11,-10.9516,0.0428,-9.1900,0.0000,True,1.76162827435956
cmpd 16,-11.8787,0.1102,-10.3300,0.0000,True,1.5487161459426837
cmpd 14,-8.9212,0.1153,-7.8200,0.0000,True,1.1011568757600503
cmpd 10,-8.4886,0.2107,-9.1900,0.0000,True,0.7013590605007246
cmpd 9,-8.5572,0.0486,-7.9200,0.0000,True,0.6371858151879195
