mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
cmpd 7,cmpd 12,-10.0701,0.0366,0.2200,0.0000,True,10.2901
cmpd 9,cmpd 7,6.6806,0.0368,-1.4900,0.0000,True,8.1706
cmpd 14,cmpd 8,6.9007,0.0364,0.9600,0.0000,True,5.9407
cmpd 10,cmpd 8,7.1902,0.0397,2.3300,0.0000,True,4.8602
cmpd 16,cmpd 10,3.7318,0.0296,1.1400,0.0000,True,2.5918
cmpd 7,cmpd 8,0.0454,0.0225,2.5500,0.0000,True,2.5046
cmpd 13,cmpd 10,3.3293,0.0272,0.9600,0.0000,True,2.3693
cmpd 9,cmpd 12,-3.0145,0.0207,-1.2700,0.0000,True,1.7445
cmpd 9,cmpd 13,-3.4278,0.0229,-2.2300,0.0000,True,1.1978
cmpd 9,cmpd 11,-2.3791,0.0205,-1.2700,0.0000,True,1.1091
cmpd 11,cmpd 12,-0.6966,0.0210,0.0000,0.0000,True,0.6966
cmpd 16,cmpd 17,-1.0202,0.0217,-0.4100,0.0000,True,0.6102
cmpd 9,cmpd 14,-0.3498,0.0225,0.1000,0.0000,True,0.4498
cmpd 13,cmpd 17,-1.0317,0.0243,-0.5900,0.0000,True,0.4417
cmpd 15,cmpd 12,0.0799,0.0226,0.4200,0.0000,True,0.3401
cmpd 15,cmpd 11,0.7439,0.0247,0.4200,0.0000,True,0.3239
cmpd 16,cmpd 14,2.8094,0.0230,2.5100,0.0000,True,0.2994
cmpd 16,cmpd 13,-0.1145,0.0233,0.1800,0.0000,True,0.2945
cmpd 15,cmpd 17,-1.1290,0.0245,-1.1300,0.0000,True,0.0010
