cycle,dG,std_dG,hysteresis
2d->4d->8d->2d,-0.804,0.045,0.568
2d->5d->8d->2d,-0.085,0.038,0.060
4d->3d->7d->4d,-0.181,0.041,0.128
5d->6d->7d->5d,-0.321,0.042,0.227
7d->3d->6d->7d,-0.232,0.041,0.164
2d->4d->7d->5d->2d,-0.028,0.048,0.016
2d->4d->8d->5d->2d,-0.718,0.049,0.415
4d->3d->6d->7d->4d,-0.413,0.046,0.239
4d->7d->5d->8d->4d,0.690,0.049,0.398
5d->6d->3d->7d->5d,-0.089,0.048,0.051
2d->4d->3d->6d->5d->2d,-0.121,0.052,0.060
2d->4d->3d->7d->5d->2d,-0.209,0.055,0.105
2d->4d->7d->5d->8d->2d,-0.114,0.053,0.057
2d->4d->7d->6d->5d->2d,0.293,0.052,0.146
2d->5d->7d->4d->8d->2d,-0.775,0.054,0.388
4d->3d->6d->5d->7d->4d,-0.093,0.052,0.046
4d->3d->6d->5d->8d->4d,0.597,0.053,0.299
4d->3d->7d->5d->8d->4d,0.509,0.056,0.254
4d->7d->6d->5d->8d->4d,1.011,0.053,0.505
2d->4d->3d->6d->5d->8d->2d,-0.206,0.057,0.092
2d->4d->3d->6d->7d->5d->2d,-0.441,0.059,0.197
2d->4d->3d->7d->5d->8d->2d,-0.295,0.060,0.132
2d->4d->3d->7d->6d->5d->2d,0.111,0.059,0.050
2d->4d->7d->3d->6d->5d->2d,0.061,0.057,0.027
2d->4d->7d->6d->5d->8d->2d,0.207,0.057,0.093
2d->5d->6d->3d->4d->8d->2d,-0.683,0.058,0.305
2d->5d->6d->7d->4d->8d->2d,-1.096,0.058,0.490
2d->5d->7d->3d->4d->8d->2d,-0.594,0.061,0.266
4d->3d->6d->7d->5d->8d->4d,0.277,0.060,0.124
4d->3d->7d->6d->5d->8d->4d,0.829,0.060,0.371
4d->7d->3d->6d->5d->8d->4d,0.779,0.058,0.348
