mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
2d,4d,-4.6751,0.0262,-1.8617,0.0000,True,2.8134
5d,6d,1.3849,0.0221,3.8477,0.0000,True,2.4628
2d,5d,-2.2049,0.0214,0.2282,0.0000,True,2.4331
5d,7d,-3.9629,0.0264,-1.9980,0.0000,True,1.9649
4d,7d,-1.5207,0.0215,0.0919,0.0000,True,1.6126
3d,6d,-1.5313,0.0216,-0.2126,0.0000,True,1.3187
8d,2d,-1.5868,0.0232,-2.8533,0.0000,True,1.2665
8d,5d,-3.7062,0.0217,-2.6251,0.0000,True,1.0811
3d,7d,-6.9679,0.0257,-6.0582,0.0000,True,0.9097
3d,4d,-5.2658,0.0238,-6.1501,0.0000,True,0.8843
8d,4d,-5.4585,0.0282,-4.7150,0.0000,True,0.7435
6d,7d,-5.6686,0.0242,-5.8457,0.0000,True,0.1771
