cycle,dG,std_dG,hysteresis
1a pose 2->1a xtal pose->5->1a pose 2,-0.005,0.037,0.004
5->7e pose 1->7e pose 2->5,-0.191,0.047,0.135
7c pose 1->5->7c pose 2->7c pose 1,0.034,0.039,0.024
7f->5->7b->7f,0.089,0.040,0.063
5->7a pose 1->7a pose 2->5,0.304,0.048,0.215
5->6e pose 1->6e pose 2->5,-0.189,0.040,0.134
5->6d pose 1->6d pose 2->5,-0.397,0.046,0.281
6c pose 2->5->6c pose 1->6c pose 2,0.119,0.048,0.084
5->6b pose 1->6b pose 2->5,-0.114,0.045,0.081
6a pose 1->5->6a pose 2->6a pose 1,0.180,0.041,0.127
3b pose 1->3b pose 2->5->3b pose 1,-0.009,0.045,0.006
3a pose 2->3a xtal pose->5->3a pose 2,-0.013,0.041,0.009
5->2d pose 2->2d pose 1->5,0.034,0.042,0.024
5->2c pose 2->2c pose 1->5,-0.019,0.042,0.013
5->2b pose 1->2b pose 2->5,0.265,0.044,0.187
5->2a pose 1->2a pose 2->5,0.293,0.045,0.207
5->1d pose 1->1d pose 2->5,-0.080,0.039,0.056
5->1c pose 2->1c pose 1->5,0.038,0.039,0.027
5->1b xtal pose->1b pose 2->5,-0.139,0.038,0.099
