mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
7e pose 1,-7.2440,0.0803,-5.6547,0.0000,True,1.589273235905421
2a pose 1,-7.8845,0.1260,-6.6165,0.0000,True,1.2679982911378012
1b pose 2,-8.1529,0.0636,-9.2561,0.0000,True,1.1031467567604425
2a pose 2,-7.6847,0.1282,-6.6165,0.0000,True,1.0682461298958248
1b xtal pose,-8.1888,0.0635,-9.2561,0.0000,True,1.0672173564533411
2b pose 1,-8.2529,0.1132,-7.2856,0.0000,True,0.9673043235421827
7b,-6.5564,0.0393,-7.4093,0.0000,True,0.8528820346878214
7a pose 2,-8.4580,0.1282,-7.6247,0.0000,True,0.8333743427211758
7e pose 2,-6.4770,0.0828,-5.6547,0.0000,True,0.822305810086744
2b pose 2,-6.5259,0.1160,-7.2856,0.0000,True,0.759748071287575
7a pose 1,-8.3284,0.1311,-7.6247,0.0000,True,0.7037874990338068
2d pose 1,-5.9689,0.0204,-6.6309,0.0000,True,0.6620102190621865
3a pose 2,-7.4662,0.0153,-8.1204,0.0000,True,0.654243962052433
6c pose 2,-8.3697,0.0530,-9.0144,0.0000,True,0.6446840421879748
3a xtal pose,-7.5062,0.0153,-8.1204,0.0000,True,0.6142692242915451
2d pose 2,-6.0477,0.0205,-6.6309,0.0000,True,0.5831829181407963
7f,-6.7056,0.0457,-6.1228,0.0000,True,0.5828568079839164
6c pose 1,-8.4495,0.0528,-9.0144,0.0000,True,0.5648690269402793
5,-6.2456,0.0142,-6.7936,0.0000,True,0.5480648309855404
6b pose 1,-9.5484,0.0513,-9.0369,0.0000,True,0.5115085322903259
6e pose 1,-9.1320,0.0846,-8.6472,0.0000,True,0.48484827018620114
2c pose 1,-6.8481,0.0164,-7.2856,0.0000,True,0.4375655628602126
6a pose 1,-9.5328,0.0797,-9.9108,0.0000,True,0.3780694701650194
6b pose 2,-9.3923,0.0512,-9.0369,0.0000,True,0.3553776600740691
6e pose 2,-9.0006,0.0845,-8.6472,0.0000,True,0.3534691471270488
1d pose 2,-8.9408,0.0381,-8.6013,0.0000,True,0.33954448469117
1d pose 1,-8.9291,0.0379,-8.6013,0.0000,True,0.32783957995403895
6a pose 2,-9.5960,0.0797,-9.9108,0.0000,True,0.31486068893799257
1a pose 2,-7.1016,0.0144,-7.4093,0.0000,True,0.3076917114232311
1a xtal pose,-7.1524,0.0144,-7.4093,0.0000,True,0.256895541370029
6d pose 2,-8.5077,0.1710,-8.7329,0.0000,True,0.22521596344206002
6d pose 1,-8.5216,0.1696,-8.7329,0.0000,True,0.21130469238377544
2c pose 2,-7.1265,0.0164,-7.2856,0.0000,True,0.15917156417666758
3b pose 2,-7.3745,0.0147,-7.2549,0.0000,True,0.11957656566027933
7c pose 1,-7.8943,0.0208,-8.0085,0.0000,True,0.11419630475197882
3b pose 1,-7.3663,0.0147,-7.2549,0.0000,True,0.11137047080106803
1c pose 1,-8.6871,0.0221,-8.5796,0.0000,True,0.10747761823464806
7c pose 2,-7.9461,0.0207,-8.0085,0.0000,True,0.06241751146999932
1c pose 2,-8.5552,0.0221,-8.5796,0.0000,True,0.024451315494852157
