mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
5,7e pose 1,-1.0516,0.0247,1.1389,0.0000,True,2.1905
2b pose 1,2b pose 2,1.8340,0.0283,0.0000,0.0000,True,1.8340
5,2a pose 1,-1.5525,0.0243,0.1772,0.0000,True,1.7296
5,2a pose 2,-1.5282,0.0247,0.1772,0.0000,True,1.7053
5,7a pose 2,-2.2991,0.0255,-0.8310,0.0000,True,1.4681
5,2b pose 1,-1.9302,0.0240,-0.4920,0.0000,True,1.4382
7b,7f,-0.1198,0.0232,1.2865,0.0000,True,1.4063
5,7e pose 2,-0.1756,0.0253,1.1389,0.0000,True,1.3145
5,7f,-0.4950,0.0252,0.6709,0.0000,True,1.1658
5,7a pose 1,-1.9931,0.0259,-0.8310,0.0000,True,1.1621
5,6b pose 1,-3.3372,0.0246,-2.2433,0.0000,True,1.0940
5,6e pose 1,-2.9461,0.0223,-1.8535,0.0000,True,1.0925
5,1d pose 1,-2.7087,0.0221,-1.8077,0.0000,True,0.9010
5,6b pose 2,-3.1125,0.0246,-2.2433,0.0000,True,0.8692
5,1d pose 2,-2.6699,0.0222,-1.8077,0.0000,True,0.8622
5,6e pose 2,-2.6956,0.0223,-1.8535,0.0000,True,0.8420
7e pose 1,7e pose 2,0.6855,0.0306,0.0000,0.0000,True,0.6855
5,1c pose 1,-2.4537,0.0218,-1.7860,0.0000,True,0.6677
5,3b pose 2,-1.1262,0.0244,-0.4613,0.0000,True,0.6650
5,3b pose 1,-1.1234,0.0245,-0.4613,0.0000,True,0.6621
5,1b pose 2,-1.8627,0.0214,-2.4624,0.0000,True,0.5997
5,1c pose 2,-2.2975,0.0217,-1.7860,0.0000,True,0.5115
5,7c pose 2,-1.6897,0.0218,-1.2149,0.0000,True,0.4748
5,1b xtal pose,-1.9878,0.0214,-2.4624,0.0000,True,0.4746
5,6d pose 1,-2.3921,0.0247,-1.9393,0.0000,True,0.4529
5,7c pose 1,-1.6597,0.0219,-1.2149,0.0000,True,0.4448
5,2c pose 2,-0.8866,0.0232,-0.4920,0.0000,True,0.3946
5,7b,-0.2859,0.0213,-0.6157,0.0000,True,0.3298
2a pose 1,2a pose 2,0.3177,0.0284,0.0000,0.0000,True,0.3177
5,1a xtal pose,-0.9051,0.0210,-0.6157,0.0000,True,0.2894
2c pose 2,2c pose 1,0.2708,0.0268,0.0000,0.0000,True,0.2708
5,1a pose 2,-0.8578,0.0210,-0.6157,0.0000,True,0.2421
5,6a pose 1,-3.3425,0.0229,-3.1172,0.0000,True,0.2253
5,6d pose 2,-2.1445,0.0249,-1.9393,0.0000,True,0.2052
5,6a pose 2,-3.2951,0.0229,-3.1172,0.0000,True,0.1779
6d pose 2,6d pose 1,0.1496,0.0293,0.0000,0.0000,True,0.1496
6a pose 2,6a pose 1,0.1322,0.0256,0.0000,0.0000,True,0.1322
5,2b pose 2,-0.3608,0.0245,-0.4920,0.0000,True,0.1312
6c pose 2,6c pose 1,-0.1290,0.0309,0.0000,0.0000,True,0.1290
1c pose 2,1c pose 1,-0.1180,0.0232,0.0000,0.0000,True,0.1180
6b pose 1,6b pose 2,0.1107,0.0283,0.0000,0.0000,True,0.1107
5,2c pose 1,-0.5968,0.0233,-0.4920,0.0000,True,0.1048
5,2d pose 1,0.2665,0.0232,0.1628,0.0000,True,0.1037
5,3a pose 2,-1.2247,0.0229,-1.3268,0.0000,True,0.1021
2d pose 2,2d pose 1,0.0920,0.0263,0.0000,0.0000,True,0.0920
5,3a xtal pose,-1.2565,0.0229,-1.3268,0.0000,True,0.0703
7c pose 2,7c pose 1,0.0640,0.0232,0.0000,0.0000,True,0.0640
6e pose 2,6e pose 1,-0.0615,0.0241,0.0000,0.0000,True,0.0615
5,6c pose 2,-2.1593,0.0261,-2.2208,0.0000,True,0.0614
1a xtal pose,1a pose 2,0.0527,0.0217,0.0000,0.0000,True,0.0527
5,6c pose 1,-2.1690,0.0260,-2.2208,0.0000,True,0.0517
5,2d pose 2,0.2082,0.0233,0.1628,0.0000,True,0.0455
3a xtal pose,3a pose 2,0.0449,0.0253,0.0000,0.0000,True,0.0449
1d pose 1,1d pose 2,-0.0409,0.0238,0.0000,0.0000,True,0.0409
1b xtal pose,1b pose 2,-0.0142,0.0227,0.0000,0.0000,True,0.0142
3b pose 1,3b pose 2,-0.0118,0.0285,0.0000,0.0000,True,0.0118
7a pose 2,7a pose 1,0.0025,0.0308,0.0000,0.0000,True,0.0025
