mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
cmpd 3 (Allyl),cmpd 4 (Crotyl),-2.8934,0.0223,-1.5500,0.0000,True,1.3434
cmpd 2 (methyl),cmpd 4 (Crotyl),-0.0253,0.0261,0.9500,0.0000,True,0.9753
cmpd 6 (ethyl),cmpd 7 (n-propyl),0.7219,0.0220,1.5700,0.0000,True,0.8481
cmpd 2 (methyl),cmpd 8 (n-Butyl),1.3897,0.0270,1.9300,0.0000,True,0.5403
cmpd 9 (methoxyethyl),cmpd 8 (n-Butyl),-0.8299,0.0248,-0.4400,0.0000,True,0.3899
cmpd 5 (1-Butenyl),cmpd 7 (n-propyl),0.2314,0.0226,0.6200,0.0000,True,0.3886
cmpd 2 (methyl),cmpd 7 (n-propyl),2.2098,0.0257,2.5700,0.0000,True,0.3602
cmpd 2 (methyl),cmpd 6 (ethyl),1.3562,0.0240,1.0000,0.0000,True,0.3562
cmpd 2 (methyl),cmpd 3 (Allyl),2.2168,0.0249,2.5000,0.0000,True,0.2832
cmpd 2 (methyl),cmpd 5 (1-Butenyl),2.1885,0.0266,1.9500,0.0000,True,0.2385
cmpd 2 (methyl),cmpd 9 (methoxyethyl),2.1335,0.0275,2.3700,0.0000,True,0.2365
