cycle,dG,std_dG,hysteresis
12 docked->21 (Xtal)->15 docked->12 docked,-1.335,0.067,0.944
17 torsion adjust->21 (Xtal)->13 docked->17 torsion adjust,-0.764,0.062,0.540
21 (Xtal)->20->24 pose 2->21 (Xtal),-1.596,0.057,1.128
16 docked->21 (Xtal)->22->16 docked,1.014,0.053,0.717
16 docked->21 (Xtal)->14 docked->16 docked,0.808,0.054,0.571
16 docked->21 (Xtal)->11 docked->16 docked,0.801,0.058,0.566
21 (Xtal)->18 docked->19->21 (Xtal),-0.930,0.056,0.658
16 docked->22->21 (Xtal)->14 docked->16 docked,-0.207,0.061,0.119
16 docked->22->21 (Xtal)->11 docked->16 docked,-0.214,0.064,0.123
16 docked->14 docked->21 (Xtal)->11 docked->16 docked,-0.007,0.065,0.004
