mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
21 (Xtal),-11.4647,0.1729,-13.0686,0.0000,True,1.6038979037524264
13 docked,-11.4243,0.3371,-9.9208,0.0000,True,1.5034540261474578
22,-11.8559,0.2787,-13.0686,0.0000,True,1.2126764776486672
18 docked,-10.4028,0.4238,-9.5496,0.0000,True,0.8531885439082114
17 torsion adjust,-11.0325,0.3498,-10.3239,0.0000,True,0.7086172764062543
11 docked,-11.6820,0.2584,-10.9787,0.0000,True,0.7032616309812337
20,-9.4939,0.6539,-10.0823,0.0000,True,0.5884466148663776
24 pose 2,-13.6786,0.6917,-13.1773,0.0000,True,0.5013147937420691
14 docked,-10.5259,0.2615,-10.8701,0.0000,True,0.3441791903995515
12 docked,-8.3793,0.5518,-8.6124,0.0000,True,0.23313060111655862
19,-10.0437,0.4359,-10.2494,0.0000,True,0.20573322477611153
15 docked,-9.9320,0.5555,-10.0438,0.0000,True,0.11177543042045332
16 docked,-11.8116,0.3503,-11.7816,0.0000,True,0.030003171794923122
