mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
21 (Xtal),13 docked,-0.1955,0.0345,3.1478,0.0000,True,3.3433
21 (Xtal),18 docked,0.7025,0.0345,3.5190,0.0000,True,2.8165
21 (Xtal),16 docked,-0.8763,0.0316,1.2870,0.0000,True,2.1633
21 (Xtal),11 docked,-0.0659,0.0361,2.0899,0.0000,True,2.1558
21 (Xtal),17 torsion adjust,0.6891,0.0360,2.7447,0.0000,True,2.0556
21 (Xtal),15 docked,1.0821,0.0387,3.0248,0.0000,True,1.9427
21 (Xtal),20,1.4185,0.0338,2.9863,0.0000,True,1.5678
24 pose 2,20,4.5931,0.0290,3.0950,0.0000,True,1.4981
21 (Xtal),24 pose 2,-1.5790,0.0362,-0.1087,0.0000,True,1.4703
21 (Xtal),14 docked,1.0950,0.0330,2.1985,0.0000,True,1.1035
21 (Xtal),19,1.8230,0.0365,2.8192,0.0000,True,0.9962
21 (Xtal),12 docked,3.5299,0.0384,4.4562,0.0000,True,0.9263
22,16 docked,0.3698,0.0348,1.2870,0.0000,True,0.9172
18 docked,19,0.1905,0.0236,-0.6998,0.0000,True,0.8903
16 docked,11 docked,0.0098,0.0321,0.8029,0.0000,True,0.7931
13 docked,17 torsion adjust,0.1207,0.0370,-0.4031,0.0000,True,0.5237
12 docked,15 docked,-1.1132,0.0382,-1.4314,0.0000,True,0.3182
14 docked,16 docked,-1.1634,0.0292,-0.9115,0.0000,True,0.2519
21 (Xtal),22,-0.2316,0.0244,0.0000,0.0000,True,0.2316
