mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
cmpd 7,-7.4000,0.1832,-9.4100,0.0000,True,2.009995496719513
cmpd 12,-11.0080,0.0721,-9.1900,0.0000,True,1.8179726456937861
cmpd 13,-11.6797,0.1144,-10.1500,0.0000,True,1.5297071816577725
cmpd 8,-5.3981,0.2801,-6.8600,0.0000,True,1.461897836796021
cmpd 11,-10.2727,0.0708,-9.1900,0.0000,True,1.0827015042025627
cmpd 14,-7.1306,0.1466,-7.8200,0.0000,True,0.6893888813390405
cmpd 10,-8.6680,0.2076,-9.1900,0.0000,True,0.521997302954866
cmpd 15,-9.9819,0.0646,-9.6100,0.0000,True,0.37187352287916225
cmpd 17,-10.4190,0.0760,-10.7400,0.0000,True,0.320995999793314
cmpd 9,-8.2034,0.0795,-7.9200,0.0000,True,0.2833711996247818
cmpd 16,-10.2486,0.0910,-10.3300,0.0000,True,0.08135053645531336
