cycle,dG,std_dG,hysteresis
3d->6d->7d->3d,-1.148,0.043,0.812
5d->6d->7d->5d,-0.783,0.044,0.554
4d->2d->8d->4d,-0.631,0.047,0.446
5d->2d->8d->5d,-0.552,0.040,0.390
3d->6d->5d->7d->3d,-0.365,0.050,0.211
4d->2d->5d->8d->4d,-0.079,0.051,0.045
3d->6d->5d->2d->4d->3d,-0.647,0.054,0.323
3d->6d->5d->8d->4d->3d,-0.725,0.055,0.363
3d->4d->2d->5d->7d->3d,0.282,0.057,0.141
3d->4d->8d->5d->7d->3d,0.361,0.059,0.180
3d->6d->7d->5d->2d->4d->3d,-1.430,0.061,0.640
3d->6d->7d->5d->8d->4d->3d,-1.509,0.062,0.675
3d->6d->5d->2d->8d->4d->3d,-1.277,0.060,0.571
3d->6d->5d->8d->2d->4d->3d,-0.095,0.059,0.042
3d->4d->2d->5d->6d->7d->3d,-0.501,0.061,0.224
3d->4d->2d->8d->5d->7d->3d,-0.270,0.063,0.121
3d->4d->8d->2d->5d->7d->3d,0.913,0.064,0.408
3d->4d->8d->5d->6d->7d->3d,-0.423,0.062,0.189
