mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
8d,5d,-4.9021,0.0225,-2.6251,0.0000,True,2.2770
2d,5d,-1.7810,0.0222,0.2282,0.0000,True,2.0092
3d,4d,-4.2277,0.0250,-6.1501,0.0000,True,1.9225
3d,6d,-2.0924,0.0226,-0.2126,0.0000,True,1.8798
5d,6d,2.1061,0.0234,3.8477,0.0000,True,1.7416
8d,4d,-5.6568,0.0298,-4.7150,0.0000,True,0.9418
6d,7d,-5.1330,0.0248,-5.8457,0.0000,True,0.7127
2d,4d,-2.4570,0.0271,-1.8617,0.0000,True,0.5953
8d,2d,-2.5692,0.0245,-2.8533,0.0000,True,0.2841
5d,7d,-2.2436,0.0271,-1.9980,0.0000,True,0.2456
3d,7d,-6.0773,0.0268,-6.0582,0.0000,True,0.0191
