cycle,dG,std_dG,hysteresis
7a pose 2->5->7a pose 1->7a pose 2,0.274,0.050,0.194
7f->5->7b->7f,-0.496,0.043,0.351
6d pose 2->5->6d pose 1->6d pose 2,-0.294,0.050,0.208
6a pose 1->5->6a pose 2->6a pose 1,0.180,0.047,0.127
5->7e pose 1->7e pose 2->5,-0.250,0.057,0.177
6c pose 1->5->6c pose 2->6c pose 1,0.263,0.052,0.186
6b pose 2->5->6b pose 1->6b pose 2,0.088,0.049,0.062
2c pose 1->5->2c pose 2->2c pose 1,-0.099,0.044,0.070
2b pose 2->5->2b pose 1->2b pose 2,0.512,0.046,0.362
1d pose 1->5->1d pose 2->1d pose 1,-0.303,0.043,0.214
1c pose 1->5->1c pose 2->1c pose 1,-0.174,0.042,0.123
5->3b pose 1->3b pose 2->5,0.082,0.046,0.058
