mol,dG_pred,std_dG_pred,dG_expt,std_dG_expt,has_expt,dG_diff
2a pose 2,-8.0656,0.0222,-6.6165,0.0000,True,1.4491058126580216
3a pose 2,-6.9085,0.0222,-8.1204,0.0000,True,1.211952657705272
7e pose 1,-6.8616,0.1472,-5.6547,0.0000,True,1.2068503667674775
7b,-6.2769,0.2437,-7.4093,0.0000,True,1.1324305483636716
1b xtal pose,-8.1266,0.0222,-9.2561,0.0000,True,1.129479923479648
5,-5.9687,0.0222,-6.7936,0.0000,True,0.8249132121985834
2b pose 1,-7.9356,0.2551,-7.2856,0.0000,True,0.6499862027802313
6d pose 2,-9.3285,0.1471,-8.7329,0.0000,True,0.5956139110982972
6e pose 1,-9.2417,0.0222,-8.6472,0.0000,True,0.5945730401914763
7a pose 1,-8.2141,0.1394,-7.6247,0.0000,True,0.5894668274446355
6b pose 1,-9.5865,0.0491,-9.0369,0.0000,True,0.5496076276123496
1a xtal pose,-6.9501,0.0222,-7.4093,0.0000,True,0.4591778584700902
2d pose 1,-6.1902,0.0222,-6.6309,0.0000,True,0.4407143976670242
3b pose 2,-6.8466,0.0469,-7.2549,0.0000,True,0.40825444387147236
1d pose 2,-8.9070,0.1564,-8.6013,0.0000,True,0.3056753669251615
6a pose 1,-9.6110,0.0933,-9.9108,0.0000,True,0.2998245048271694
6c pose 1,-8.8243,0.1334,-9.0144,0.0000,True,0.19007288604649494
2c pose 2,-7.4352,0.0550,-7.2856,0.0000,True,0.1495624632565862
1c pose 1,-8.4784,0.0919,-8.5796,0.0000,True,0.10121295504117381
7f,-6.2233,0.2811,-6.1228,0.0000,True,0.10049595627832368
7c pose 1,-8.0156,0.0222,-8.0085,0.0000,True,0.007095812658015965
2b pose 2,-6.0754,0.2624,-6.0754,0.0000,False,0.0
6b pose 2,-9.4944,0.0494,-9.4944,0.0000,False,0.0
7e pose 2,-6.1677,0.1042,-6.1677,0.0000,False,0.0
7c pose 2,-7.8534,0.0222,-7.8534,0.0000,False,0.0
3a xtal pose,-6.8348,0.0222,-6.8348,0.0000,False,0.0
2d pose 2,-6.1424,0.0222,-6.1424,0.0000,False,0.0
6e pose 2,-8.7758,0.0222,-8.7758,0.0000,False,0.0
3b pose 1,-6.7021,0.0469,-6.7021,0.0000,False,0.0
6c pose 2,-8.7881,0.1328,-8.7881,0.0000,False,0.0
1d pose 1,-8.8840,0.1571,-8.8840,0.0000,False,0.0
1c pose 2,-8.2922,0.0919,-8.2922,0.0000,False,0.0
6d pose 1,-9.0431,0.1473,-9.0431,0.0000,False,0.0
7a pose 2,-8.0161,0.1374,-8.0161,0.0000,False,0.0
2a pose 1,-6.5340,0.0222,-6.5340,0.0000,False,0.0
1a pose 2,-6.8387,0.0222,-6.8387,0.0000,False,0.0
1b pose 2,-7.9659,0.0222,-7.9659,0.0000,False,0.0
2c pose 1,-7.1948,0.0553,-7.1948,0.0000,False,0.0
6a pose 2,-9.3945,0.0936,-9.3945,0.0000,False,0.0
