mol1,mol2,ddG_pred,std_ddG_pred,ddG_expt,std_ddG_expt,has_expt,ddG_diff
5,2a pose 2,-2.0969,0.0252,0.1772,0.0000,True,2.2740
5,7e pose 1,-0.9891,0.0351,1.1389,0.0000,True,2.1280
7b,7f,-0.1149,0.0249,1.2865,0.0000,True,1.4014
5,6b pose 1,-3.5924,0.0262,-2.2433,0.0000,True,1.3491
5,6d pose 2,-3.2764,0.0267,-1.9393,0.0000,True,1.3371
5,7a pose 1,-2.1656,0.0268,-0.8310,0.0000,True,1.3345
5,2b pose 1,-1.8196,0.0248,-0.4920,0.0000,True,1.3275
5,1d pose 2,-3.0303,0.0237,-1.8077,0.0000,True,1.2226
5,2c pose 2,-1.4962,0.0243,-0.4920,0.0000,True,1.0042
5,7c pose 1,-2.0469,0.0300,-1.2149,0.0000,True,0.8320
5,7f,-0.0685,0.0262,0.6709,0.0000,True,0.7394
5,6c pose 1,-2.9318,0.0280,-2.2208,0.0000,True,0.7110
5,1c pose 1,-2.4564,0.0232,-1.7860,0.0000,True,0.6704
5,6a pose 1,-3.6954,0.0256,-3.1172,0.0000,True,0.5782
5,3b pose 2,-0.9022,0.0251,-0.4613,0.0000,True,0.4409
5,3a pose 2,-0.9398,0.0235,-1.3268,0.0000,True,0.3870
5,1a xtal pose,-0.9814,0.0225,-0.6157,0.0000,True,0.3657
5,1b xtal pose,-2.1579,0.0229,-2.4624,0.0000,True,0.3046
5,7b,-0.4497,0.0228,-0.6157,0.0000,True,0.1660
2a pose 1,2a pose 2,-1.5316,0.0296,-1.5316,0.0000,False,0.0000
2d pose 2,2d pose 1,-0.0478,0.0279,-0.0478,0.0000,False,0.0000
3b pose 1,3b pose 2,-0.1114,0.0293,-0.1114,0.0000,False,0.0000
1b xtal pose,1b pose 2,0.1607,0.0255,0.1607,0.0000,False,0.0000
2c pose 2,2c pose 1,0.2010,0.0279,0.2010,0.0000,False,0.0000
5,1c pose 2,-2.3768,0.0232,-2.3768,0.0000,False,0.0000
2b pose 1,2b pose 2,2.0705,0.0297,2.0705,0.0000,False,0.0000
5,1a pose 2,-0.8700,0.0224,-0.8700,0.0000,False,0.0000
1c pose 2,1c pose 1,-0.2533,0.0261,-0.2533,0.0000,False,0.0000
1d pose 1,1d pose 2,0.0951,0.0268,0.0951,0.0000,False,0.0000
5,1d pose 1,-2.8225,0.0238,-2.8225,0.0000,False,0.0000
5,2b pose 2,-0.2609,0.0254,-0.2609,0.0000,False,0.0000
5,2c pose 1,-1.1961,0.0244,-1.1961,0.0000,False,0.0000
5,3a xtal pose,-0.8660,0.0237,-0.8660,0.0000,False,0.0000
5,3b pose 1,-0.7091,0.0251,-0.7091,0.0000,False,0.0000
5,2d pose 2,-0.1737,0.0243,-0.1737,0.0000,False,0.0000
5,6c pose 2,-2.7437,0.0279,-2.7437,0.0000,False,0.0000
5,6a pose 2,-3.3724,0.0257,-3.3724,0.0000,False,0.0000
5,6d pose 1,-3.1579,0.0267,-3.1579,0.0000,False,0.0000
5,6b pose 2,-3.5514,0.0264,-3.5514,0.0000,False,0.0000
5,6e pose 2,-2.8071,0.0250,-2.8071,0.0000,False,0.0000
5,7c pose 2,-1.8847,0.0233,-1.8847,0.0000,False,0.0000
5,7a pose 2,-2.1254,0.0265,-2.1254,0.0000,False,0.0000
6a pose 2,6a pose 1,-0.1431,0.0301,-0.1431,0.0000,False,0.0000
7e pose 1,7e pose 2,0.5937,0.0359,0.5937,0.0000,False,0.0000
6b pose 1,6b pose 2,0.1286,0.0314,0.1286,0.0000,False,0.0000
6c pose 2,6c pose 1,0.0750,0.0339,0.0750,0.0000,False,0.0000
6d pose 2,6d pose 1,0.4127,0.0330,0.4127,0.0000,False,0.0000
5,7e pose 2,-0.1450,0.0263,-0.1450,0.0000,False,0.0000
6e pose 2,6e pose 1,-0.4659,0.0289,-0.4659,0.0000,False,0.0000
7a pose 2,7a pose 1,-0.3146,0.0324,-0.3146,0.0000,False,0.0000
